fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist
0.0,12.0,3.0,0.0,4.0,0.0,10.0,8.0,2.516020310073342,2.9078444020661243
0.0,12.0,3.0,0.0,4.0,0.0,10.0,8.0,7.0,2.238322767632477
9.0,0.0,3.0,0.0,0.7466875927626484,0.0,0.0,8.0,0.0,1.032686235651444
9.0,12.0,0.0,0.0,0.0,0.0,10.0,0.0,7.0,2.1032698459589287
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.398972128815748
9.0,12.0,3.0,6.0,4.0,6.0,10.0,8.0,0.0,0.6354470552230616
0.0,0.9302074745699118,0.0,0.0,0.0,3.560041126168161,10.0,0.0,1.7370642072950637,0.9325129976614916
0.0,12.0,1.9242695681667978,6.0,0.0,6.0,10.0,8.0,7.0,0.7534167902595439
9.0,0.0,0.0,3.3094690353148146,0.0,0.0,0.0,0.0,7.0,3.2469658813711804
9.0,12.0,3.0,6.0,4.0,6.0,0.0,8.0,7.0,1.032329253783093
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.307995123324859
0.0,0.0,3.0,6.0,4.0,3.508316505969454,1.5365789014692233,0.0,7.0,3.1989189792505504
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.760789513595596
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8284457427994774
9.0,0.0,2.5116571842440583,0.0,0.0,0.5368787491120947,0.0,0.0,0.0,2.1601441333110234
9.0,12.0,2.314716358731451,6.0,4.0,0.0,10.0,0.0,2.719925145773898,3.250299129984171
0.0,3.07160960828194,3.0,0.7386366601343606,4.0,6.0,10.0,8.0,7.0,0.7457195697372989
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2789370685785393
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.050399324476873,0.0
0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.332167450633648
0.0,12.0,3.0,0.0,1.779032088056218,0.0,1.0454772757019437,0.0,7.0,2.0891482962319095
0.0,12.0,3.0,6.0,0.0,0.0,10.0,8.0,0.0,0.8560678964836572
0.0,8.207817157627158,0.0,6.0,0.0,6.0,0.0,8.0,7.0,0.7334913360697983
0.0,12.0,3.0,6.0,0.0,6.0,0.0,8.0,7.0,0.798052777899223
