fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist
0.49747318,0.6182924,0.4113327,0.29122058,0.14320578,0.35724255,-0.2705825,0.15277219,0.10115055,0.4312864
1.0103989,0.95829266,0.9162266,0.88386405,0.897743,1.330659,1.1150538,1.6914665,0.65782005,0.3083668
0.8131217,0.83506227,0.13029645,0.7930231,0.7363553,0.36013323,0.2324808,1.6181077,0.86193186,0.6162283
0.5850191,0.3453238,-0.1798822,0.99083817,1.0484506,0.62409633,-0.026304783,0.06770646,-0.022318318,0.4430545
1.1301643,1.0521193,0.92806953,0.8527757,0.9597655,0.8612641,0.73363453,0.8462218,0.97186524,0.07677092
0.6038712,0.6427785,0.28065655,0.42897868,0.21347149,0.38268426,0.28903922,1.0171083,1.0472965,0.720298
0.35709468,0.24512093,-0.23326418,0.61622065,0.33070046,0.6265577,0.0071417713,-0.006435804,0.100285076,0.43496716
0.84016204,0.99629277,0.6407084,0.5255223,0.66628534,0.90645427,0.8961864,1.4576097,0.96295494,0.41890007
0.5363525,0.6392075,0.10773212,0.30797625,0.27790183,0.27974278,-0.06659432,0.30576462,0.62578577,0.7223234
0.7770268,0.7119354,0.9833068,1.0960754,1.3474574,1.059881,0.98115885,0.5812888,0.4347347,-0.106917754
0.83529305,1.0684723,0.8828622,0.46835184,0.30963886,0.7663805,0.14269826,0.73079175,0.8768439,0.49399704
0.741994,0.6654252,0.64601535,0.4795234,0.3393339,0.31738746,0.022585634,0.7836338,0.31559676,0.20141457
0.88298535,0.9810137,0.2700585,0.85037327,0.7965995,0.7546855,0.7299363,0.9192207,0.48042166,1.2957203
0.77321327,0.76168483,0.64571095,0.55056614,0.56047314,0.8759738,0.8108644,1.0327957,0.26822412,0.4893853
0.6538285,0.74138105,0.3351553,0.4613063,0.35177773,0.1690657,-0.20206442,0.73450184,0.4441768,0.6733403
0.98710597,1.4186472,0.8631142,0.45392132,0.52735656,0.699539,0.27647617,-0.45620695,1.157693,1.2749915
0.81126225,0.7435235,0.53058714,0.44303456,0.22432671,0.38537356,0.10090495,0.5312182,-0.2702881,0.7930544
0.7958636,0.89333373,0.46477526,0.4967602,0.33947805,0.21075729,-0.291979,0.50161374,1.0799583,1.0294083
0.5278944,0.69735277,0.6390371,0.61595446,0.5894885,0.77300346,0.08743527,0.009227794,0.7827562,0.012709282
0.42496082,0.51173675,0.017457388,0.33588082,0.15078285,0.3539054,0.12701033,0.34122682,0.65794796,0.4472654
1.2281644,1.403547,1.197228,0.4107108,0.48057863,0.9432803,0.68749195,0.15322664,0.44822335,0.3396541
0.96750927,1.2098523,1.3214405,0.5061263,0.5600491,1.017855,0.54269785,0.16975892,0.9389885,0.38126367
0.56929,0.44582406,-0.1991861,1.0347036,0.72368866,0.71617836,0.15764233,0.25402734,-0.106279515,0.52525663
0.6148753,0.53578424,0.26412264,0.35542995,0.22641152,0.5783202,0.34581706,0.36766756,0.041322105,0.60370046
0.4225119,0.46025634,-0.1294622,0.87136436,0.7962693,0.6390957,0.23910838,0.101800896,0.35205463,0.4412179
0.6467155,0.65147215,0.39253497,0.28714776,0.18722637,0.7365342,0.2731603,0.41958678,0.743372,0.10052687
1.4544711,1.6103373,0.6801263,0.7695767,0.92632,0.3514016,-0.706471,-0.6787494,1.4544667,0.96655107
0.56404215,0.61249954,0.1402594,0.40405235,0.24980314,0.23172009,-0.27573967,0.40091294,0.28369957,0.95043796
0.65011525,0.57845527,0.14192413,0.98370457,0.88473076,0.7931869,0.19914725,-0.10168824,-0.22699556,0.35772106
0.8233595,1.1272839,1.3241458,0.50381076,0.477584,0.85407937,0.7091464,0.40683705,0.24195313,0.44238156
0.57710826,0.8468469,0.6514265,0.21365051,0.045565937,0.5519078,0.19917987,0.1669636,0.6577104,0.35602012
0.50593793,0.4809243,0.23409453,0.30502656,0.0898235,0.49075505,0.097583264,0.23903266,0.13675028,0.38810655
1.1332392,0.8936258,0.68614644,0.85225374,0.8743639,0.5183667,0.1279128,0.81986535,-0.5980525,0.5758292
0.9260206,1.0286833,0.84823126,0.5218392,0.7870758,0.8033196,1.1245292,1.6664101,1.1838335,0.37088966
0.83100915,0.87591136,0.2239759,1.0524462,0.9013647,0.67484415,-0.47204074,0.043123975,0.17610425,1.2352684
0.41876546,0.3574007,-0.042077716,0.7274705,0.79064727,0.48704886,0.17527887,0.27377558,0.7514406,0.41183272
0.41213518,0.51706,0.3180361,0.34130678,0.24114875,0.5002274,0.04007041,0.06468958,0.5850211,0.16186233
0.41505322,0.25913572,-0.06003645,0.6315468,0.6250685,0.6248684,0.28591543,0.10407664,0.26025397,0.20952696
1.2470056,1.3326899,1.597781,0.36200216,0.48660028,1.0892286,0.5792028,0.19024453,-0.0056406483,0.19860224
0.73314524,0.6810341,0.46937287,0.535433,0.40262625,0.46655083,-0.12183085,0.19966644,-0.26194268,0.44942588
1.00573,0.85527146,0.09715924,1.3878287,1.4967641,0.8197913,0.37835088,0.098218,-0.4141289,1.0259115
0.9633486,0.8445717,-0.12240873,0.8511925,0.80004746,0.2802389,0.15875597,1.2079954,1.072998,0.9928918
0.96225965,0.95030963,0.1906203,1.3806326,1.3262868,0.73199856,-0.030460471,0.37183732,0.043844216,0.48152304
0.61289835,0.71862376,0.37988135,0.3748499,0.20212567,0.504386,0.3982143,0.5886702,0.2636556,0.65208304
1.225951,1.0923089,0.4306453,1.400744,1.4109651,0.5800109,0.20988481,0.5237696,-0.03318313,1.0245855
0.96280754,0.8000993,-0.2252507,1.1123179,0.9219853,0.5878322,0.030770637,1.0388173,0.29861593,0.9906713
0.435264,0.21202777,-0.17003515,0.8083523,0.7706394,0.8656341,0.36426133,0.8675345,0.4103522,0.13161144
0.62843084,0.6221488,0.07676804,0.63354087,0.5466409,0.5663024,-0.025284493,0.27955958,0.19049412,0.5688394
0.7377391,0.70755976,0.37561026,0.49819016,0.57912713,0.33446535,0.2985332,0.96567726,0.29033306,0.44505173
1.2684091,1.3110421,1.3926642,0.79553473,0.7798057,0.84635985,0.10691654,0.86266446,0.7104209,0.27495947
0.9995545,0.7610066,0.049132526,0.76485854,1.1470655,0.7411397,0.31946594,-0.7998756,0.8514913,0.16269796
0.87844265,0.9059115,0.88592917,0.6901055,0.8410584,0.86465263,0.80543905,1.2256314,0.19413677,0.35682526
0.862654,1.1649576,0.35121128,0.55340654,0.38594374,0.5166629,0.029171092,0.8919543,0.8979099,1.0184525
0.62445045,0.7824235,0.45556885,0.66600245,0.704347,0.751764,0.7864082,0.22089055,0.30263638,1.1100909
0.9005612,1.0155296,0.5445418,0.89189035,1.1934215,0.99639356,0.656664,-0.80168957,0.5911557,0.6879308
0.7387769,0.47622514,-0.06545267,1.3436507,1.3417692,1.0467672,0.39719248,0.9005585,0.5210582,-0.052835282
0.8702276,0.97845924,0.7182869,0.52437973,0.4684957,0.834912,0.9381537,1.6608161,0.7335461,0.78620905
0.34446093,0.20536177,-0.09195571,1.1709096,1.2261887,1.0228301,0.47399923,0.1160295,0.78164923,-0.1283648
0.52441466,0.11359334,-0.28879407,1.6219556,1.9809772,1.2669902,0.8427225,0.2949049,0.14550799,0.1107838
0.8030572,0.680241,0.2860713,1.1752276,1.3790656,0.8167227,0.5412664,-0.17426562,-0.26269618,0.65592843
1.0887088,0.9692324,0.45072448,0.31604695,0.3520826,0.038581908,0.11108227,0.5413901,0.35121506,0.80480534
0.8776002,0.849596,0.5724644,0.45626864,0.4146564,0.28341693,0.3325194,0.8415236,0.073068105,0.8535581
0.78988385,0.78256476,0.63143545,0.16434032,0.26009738,0.41801497,0.42531484,-0.03876134,0.7073632,0.25211912
1.0329499,1.1529583,0.008689642,1.1735795,1.1546123,0.6746681,-0.07153525,-0.41368383,0.3004071,1.2461681
1.1019685,0.91348845,0.6890122,1.0781641,1.286006,1.4744588,1.3322653,0.9647505,0.11409158,0.07403535
0.830647,0.77215326,0.70830756,0.9012299,1.1615677,0.55863667,0.62595135,0.85497075,0.97275966,-0.060258552
0.84682477,0.9773025,0.76433927,0.17104766,0.05215058,0.3038487,-0.31915843,0.042856105,0.44906926,0.5156036
0.75477386,0.7771854,0.3305274,1.103417,1.3681948,0.79477614,0.5985089,-0.43346515,1.0049616,0.194425
0.8508611,0.7015013,0.4994828,0.4053196,0.4528401,0.754553,0.34104502,-0.24095538,-0.0011348575,0.15477328
0.49994883,0.4046984,0.18801358,0.98924166,1.0100752,1.2564805,0.9032406,0.15629485,0.7224591,-0.15639916
0.72767866,0.72581756,0.5050518,0.15778607,0.03155673,0.31284454,0.17199364,0.43091986,0.11944076,0.7200385
0.69415474,0.59803724,0.66820693,0.8464871,0.92432904,0.8934209,0.6278037,0.4062669,-0.13452993,-0.027258419
1.0431098,0.8883804,1.0363891,0.57054293,0.7904267,1.1028576,0.77591234,0.24168822,0.44621944,-0.20331793
1.0270634,1.0257252,0.10630567,1.3712599,1.3805416,0.42858237,-0.2697256,-0.21398383,0.6377186,0.8312447
0.66480935,0.5693108,0.5916281,0.692372,0.77614903,0.860346,0.69015425,0.2402173,0.012613647,0.004937701
0.54778457,0.2900081,-0.08713267,1.0072436,1.1235381,1.1481725,0.53418934,0.5464464,1.1174624,-0.36381882
0.7590864,0.816601,0.5209763,0.19120565,0.11354931,0.16020791,-0.17393777,0.19944698,0.45123416,0.4377631
