0,1,2,3,4,5,6,7,8
10,6,12,3,0,1,1,50,29
5,6,24,4,12,1,13,11,3
2,6,9,3,16,2,7,1,1
0,6,19,2,11,3,17,19,3
10,6,11,2,2,5,1,51,30
6,6,19,4,19,5,12,11,1
5,4,19,3,14,3,13,18,7
2,8,4,3,8,3,9,18,7
8,7,5,3,9,3,5,19,23
5,6,5,3,10,4,3,22,12
10,6,16,3,2,5,1,54,28
5,8,5,3,10,5,4,37,22
2,6,5,2,14,5,11,7,1
2,4,14,4,15,1,12,11,1
0,5,23,2,12,0,18,14,3
0,6,19,2,14,1,13,16,5
10,6,10,2,7,3,1,39,23
0,6,5,3,11,2,14,17,3
12,6,25,2,19,0,1,7,1
12,4,24,2,19,1,14,30,3
5,6,5,1,5,5,6,31,21
0,8,3,3,10,3,12,14,5
2,5,8,3,14,3,15,8,1
0,6,6,1,12,3,17,23,3
2,6,15,0,14,3,13,17,2
10,6,23,2,13,3,12,13,9
0,8,5,3,6,4,11,24,7
10,6,12,3,3,5,1,54,31
2,6,12,2,16,2,11,10,2
2,5,12,2,15,3,13,10,1
10,8,11,2,3,3,1,51,30
3,7,12,3,17,5,9,3,1
0,6,17,3,4,2,17,25,9
2,6,8,3,12,1,11,8,2
1,6,5,3,12,2,13,11,2
5,6,5,2,10,4,3,18,11
2,6,24,1,14,3,17,19,4
0,4,5,1,13,2,12,14,4
1,4,7,3,14,3,14,14,1
2,6,8,3,16,1,9,5,2
10,6,8,0,0,0,1,53,30
5,6,5,1,10,5,5,25,13
8,6,11,4,5,5,7,40,25
0,6,8,3,10,5,13,19,5
2,8,15,4,16,3,12,7,1
2,4,8,3,16,5,9,4,1
5,6,4,1,5,5,3,51,28
2,6,8,3,14,1,16,11,2
3,8,12,4,17,3,9,2,2
10,6,16,4,2,2,1,48,27
0,6,19,4,12,3,17,19,3
2,7,14,4,7,3,11,11,12
10,4,16,3,3,5,11,39,13
5,6,19,3,6,2,15,28,7
2,6,6,3,16,1,11,10,2
10,4,23,3,12,1,2,24,20
6,4,19,3,17,2,14,11,3
2,8,13,3,16,3,13,11,1
2,6,8,1,14,3,12,12,1
1,5,15,3,7,4,15,37,14
0,6,5,3,13,6,13,12,3
5,7,20,3,15,2,13,19,12
2,6,5,1,14,4,12,11,1
5,6,8,3,2,2,7,25,9
0,6,5,3,10,6,12,14,9
0,6,5,2,10,6,12,15,4
0,6,5,3,8,5,12,37,13
0,4,5,2,13,4,12,11,2
10,8,17,3,4,5,1,43,26
5,6,19,3,15,2,16,19,7
0,6,4,1,11,2,17,19,5
0,6,19,2,10,4,17,19,7
2,6,12,4,15,1,11,11,2
2,6,14,4,14,3,13,16,2
0,7,4,4,12,2,12,11,2
1,8,6,3,12,4,14,11,1
6,4,15,3,17,3,7,4,1
0,6,27,2,13,2,18,31,5
0,6,4,4,6,4,13,36,13
5,6,5,3,10,5,4,23,14
0,6,11,4,10,4,15,26,1
10,7,23,2,12,3,6,26,20
1,6,5,3,14,5,10,8,1
2,6,10,4,14,4,15,11,2
1,4,5,3,12,6,5,11,1
5,6,5,3,10,2,3,21,14
10,7,24,3,18,1,4,24,9
5,8,5,3,16,2,5,1,2
2,8,10,2,16,3,9,3,1
10,6,15,1,0,0,1,11,29
5,6,5,3,3,5,5,41,23
10,6,5,0,7,5,3,41,19
5,6,19,3,14,1,14,19,7
2,6,8,1,14,2,12,10,2
5,6,17,3,4,4,11,36,22
0,5,4,1,10,5,13,18,5
2,7,7,2,15,3,11,8,2
3,6,8,2,17,3,8,1,1
5,6,5,2,9,2,3,14,13
2,6,9,2,16,4,9,11,2
3,7,7,3,16,3,9,2,1
5,6,5,4,12,2,11,15,3
1,6,3,4,14,3,15,14,2
6,6,19,4,15,3,13,19,5
2,8,14,3,6,3,9,35,9
2,6,8,2,14,6,10,11,1
2,6,8,2,14,5,11,9,1
10,6,16,3,6,6,1,38,28
2,6,13,3,16,4,10,11,1
6,6,19,3,12,1,11,13,3
3,8,8,2,17,2,8,1,2
12,6,25,3,3,1,1,54,14
5,4,13,3,15,2,9,6,6
5,6,6,4,10,2,8,19,7
10,6,12,2,5,6,1,36,28
10,8,15,3,5,5,1,37,30
6,8,13,3,15,3,13,11,1
2,8,5,3,4,3,7,43,23
2,6,12,3,16,1,10,8,2
10,6,10,2,19,2,1,10,14
5,8,8,3,2,2,7,35,15
0,6,19,2,12,2,13,11,2
2,6,13,2,15,3,15,14,1
0,6,16,2,13,3,17,14,2
0,6,27,2,12,2,18,30,3
1,6,5,3,13,5,12,10,1
2,8,7,3,14,2,6,6,2
0,5,25,2,12,4,18,29,1
0,6,5,3,13,4,12,11,1
0,6,8,4,5,5,13,23,13
5,6,5,4,5,2,4,23,11
5,6,4,1,6,5,3,30,20
12,6,23,4,19,2,1,7,12
2,8,19,3,14,4,17,19,2
0,6,8,2,13,5,15,15,1
2,6,8,2,13,6,11,11,1
0,6,16,4,12,2,17,31,3
1,6,16,4,13,3,17,37,2
5,6,5,3,10,5,3,24,13
2,6,12,4,15,4,12,11,1
1,6,5,2,14,2,9,3,2
5,6,5,3,4,2,7,31,20
10,7,26,2,12,1,4,28,22
2,6,8,4,14,3,15,12,2
2,4,8,3,14,1,13,11,2
3,6,8,2,16,3,9,3,1
6,6,14,3,17,4,9,8,9
5,8,19,3,12,1,11,14,5
10,6,11,3,2,1,1,39,29
2,7,8,3,14,3,12,9,2
10,6,17,3,3,6,1,42,29
1,6,10,3,12,5,17,14,2
1,8,19,3,12,3,17,15,1
12,6,25,3,19,2,9,1,9
0,6,2,2,10,3,13,15,4
0,6,5,3,5,6,13,31,11
0,6,5,3,10,5,14,17,5
10,8,11,3,0,4,1,52,30
12,6,26,3,19,2,1,5,14
0,4,5,2,12,3,12,11,1
0,6,3,3,12,6,13,15,3
3,6,12,3,17,3,9,2,2
2,6,12,4,17,3,9,8,1
2,6,14,3,14,5,14,11,1
5,6,8,3,16,4,7,1,2
2,6,8,3,16,5,10,11,1
0,5,22,2,12,2,18,30,3
2,6,16,4,16,3,12,11,1
2,4,23,3,14,4,17,25,1
0,4,8,3,13,3,15,13,3
0,6,5,2,10,5,12,16,4
1,6,10,3,14,5,13,11,1
2,6,8,2,14,3,11,10,2
2,6,6,3,14,1,12,8,2
6,4,19,2,15,3,13,19,7
5,6,6,3,9,2,5,38,13
1,6,2,4,13,6,12,11,2
5,6,14,3,17,3,11,8,2
10,6,12,2,0,5,1,52,31
10,6,12,3,3,1,1,53,30
5,6,5,1,4,5,7,31,11
3,6,25,2,17,2,17,11,1
6,6,25,3,17,5,14,3,9
8,8,8,3,0,2,2,51,30
5,5,19,3,15,2,9,7,2
1,5,12,3,15,4,17,21,1
0,6,19,4,14,5,13,11,1
2,6,8,3,16,3,12,1,1
1,6,6,2,12,1,13,15,2
12,4,27,3,18,2,9,18,13
10,5,12,2,5,1,1,10,29
6,4,5,4,17,3,8,1,1
12,6,23,3,19,2,1,9,13
2,6,9,0,14,3,12,12,2
12,4,9,3,5,2,9,35,9
2,4,14,3,15,5,17,8,1
2,6,12,0,14,3,11,12,2
2,6,5,2,14,1,13,11,2
10,6,15,2,5,1,1,42,31
2,6,12,2,14,2,17,15,2
2,6,7,3,16,5,12,8,1
5,6,5,3,9,4,4,23,13
10,6,8,0,5,3,6,38,22
8,4,5,3,10,2,3,16,10
0,6,5,3,12,1,18,30,3
2,6,9,4,16,2,9,5,1
2,6,18,3,14,2,17,13,4
1,6,7,3,12,5,17,15,1
0,8,5,3,12,4,12,11,1
6,6,5,3,5,5,2,30,20
2,6,10,0,14,3,12,11,2
5,6,19,4,15,1,13,19,7
1,4,5,2,13,3,10,8,2
8,4,7,3,15,2,9,18,13
1,6,9,2,14,2,14,11,1
5,6,8,3,3,4,4,46,24
2,6,12,2,13,3,17,11,2
