time,a1,a2,a3,a4,a5,a6,a7,a8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.83448295280107
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.365845091027303
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.19871175592259
12.0,0.0,28.0,4.0,21.0,0.0,18.0,54.0,0.1996518940896331
0.0,0.0,5.6065326596161045,4.0,8.32934209805982,6.0,0.0,0.0,4.590798563698265
12.0,14.0,28.0,4.0,21.0,6.0,18.0,54.0,0.25698121005823366
0.0,14.0,0.0,0.0,21.0,6.0,0.0,54.0,16.842779720592404
0.0,14.0,0.5983269379116812,0.0,2.1827042303291084,6.0,18.0,54.0,21.207624244929875
12.0,0.0,6.172228167445938,4.0,0.0,2.17619938603547,0.0,0.0,11.13246018985288
0.0,0.0,0.0,0.0,21.0,0.0,3.1425199536170183,54.0,16.52752503590203
12.0,0.0,28.0,4.0,21.0,0.0,11.856178072808945,25.394571397734627,4.1951606790503995
0.0,7.877514259358676,28.0,4.0,0.0,0.0,0.0,0.0,7.174655354777011
0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,5.592845315890407
12.0,0.0,28.0,4.0,21.0,4.946457273945788,15.787509830906377,54.0,2.3693583342807636
12.0,14.0,28.0,4.0,21.0,6.0,18.0,0.0,1.5008894887427828
12.0,0.0,0.0,2.480810751786745,21.0,6.0,18.0,1.628587738767608,0.0
6.3661491011098015,0.0,28.0,0.0,0.0,0.0,0.0,54.0,25.630165362506077
0.0,14.0,0.0,4.0,21.0,0.0,0.0,54.0,18.54984676828389
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.89208094969142
12.0,0.0,28.0,0.0,0.0,0.0,18.0,0.0,4.240127176126125
12.0,14.0,28.0,4.0,21.0,6.0,18.0,54.0,2.9951814650122928
12.0,14.0,28.0,4.0,21.0,6.0,18.0,54.0,1.109240087586847
