time,a1,a2,a3,a4,a5,a6,a7,a8
0.7649799,0.31025645,0.5016839,0.24615692,0.016965158,0.9125781,0.42737097,0.83757913,1.0843436
-0.03948057,0.7010524,-0.3611463,0.834498,0.052224346,0.64179856,0.9116957,0.9550055,0.85089076
1.0356982,0.416225,0.6418199,0.6711817,0.44436494,0.6295414,0.11199413,0.45394364,0.87086725
0.35677096,0.3298353,0.18352467,0.2775102,0.63841695,0.71805674,0.27542233,-0.16053425,0.26803792
0.20758888,0.27232307,1.1442729,0.756825,0.26609364,0.21816042,1.0453401,0.47642782,0.35231635
0.12656121,0.33951715,0.0213336,0.21404877,0.25238287,0.23916563,0.39908683,0.100042075,0.41823742
0.9166999,0.43325248,0.4864476,0.5922434,0.7646604,0.49981534,0.26795763,-0.11736759,0.268542
1.1368465,0.63841134,0.603822,1.1384691,1.2206106,0.4962259,0.29246178,-0.12130764,0.30725735
0.016386941,0.097214386,0.7113084,0.50025165,0.18419062,0.50146013,0.8645276,0.34558013,0.34735
0.14747575,0.66536856,-0.50706095,0.78358,0.2504587,0.86423147,0.365045,0.2841048,0.6501212
0.9847779,0.6373484,0.21391344,0.8371972,0.7717018,0.54768705,0.08788892,0.16058788,0.6541631
0.30478343,0.26319957,0.043833036,0.27473134,-0.0061094053,0.20863932,0.2643713,0.27629575,0.48705405
0.28901517,0.20040363,0.5028915,0.29591617,0.07603545,0.5657767,0.42001235,0.2996166,0.70557845
0.16639097,0.86926055,0.9376715,1.6220483,0.73351455,-0.2012116,1.6737674,0.7608167,0.5356355
0.6938234,0.38053364,0.67022717,0.41699588,0.88330317,0.5048113,0.565922,-0.085591584,-0.0027393848
0.78480816,0.8471973,0.70005435,1.3422443,0.6858603,-0.32841313,0.91250795,0.6377207,0.64821863
0.353421,0.508811,-0.18791541,0.72170496,-0.0012389701,0.47817624,0.42247605,0.7713959,0.94320595
0.50265014,0.16418172,0.40868622,0.24372646,0.28498,0.24205083,0.28928158,0.0826557,0.30788645
0.30615312,0.49261227,-0.19110596,0.67784077,0.45113742,0.52577376,0.20924202,-0.0014289618,0.4362211
0.08925435,0.15974988,0.52134246,0.31205776,0.31241518,0.83690506,0.7658581,0.52826643,0.5625005
0.6247089,0.64404285,0.2663601,0.72799045,0.7704598,-0.018276282,0.47180712,-0.050006635,0.45527706
0.7669415,0.3039234,1.3119113,0.50677997,0.9716018,0.57872957,0.8143414,0.2816437,0.14945416
0.2535052,0.943712,-0.3165124,1.043358,0.7763391,0.77076316,0.71756655,0.11145575,0.48303622
0.33784467,0.40154192,-0.039667144,0.67779315,-0.044151194,1.193036,0.33242592,0.6359031,0.9215349
0.32802048,0.32430327,0.19118667,0.6081882,-0.14712764,0.56651115,0.49537003,0.7636993,0.9701979
0.19327016,0.24382132,0.008282411,0.19725426,0.20304152,0.31690192,0.32501775,0.063650295,0.44480604
0.09331661,0.52974606,0.24211955,0.7565554,-0.093740076,0.5529375,1.0560833,1.1187291,0.9865469
0.4237018,0.286323,0.754426,0.5626595,0.322019,0.14365436,0.70632535,0.4030393,0.2916541
0.4407491,0.39207903,-0.010329552,0.36650905,0.43962416,0.93875617,0.17691562,0.043465152,0.4577443
0.29030567,0.7153263,0.034051426,0.8145619,0.48384008,-0.19352128,0.67242104,0.43111888,0.6070312
1.3101228,0.77785265,1.0746449,1.3783444,1.2722791,1.0250106,0.6698997,0.4236115,0.58875
0.57676846,0.4508891,0.19563904,0.57834274,0.17427984,0.27142274,0.41109362,0.49792072,0.8072345
0.30449,0.26885974,0.18102291,0.32261994,0.18917955,0.9191478,0.3375931,0.17929289,0.571728
0.17649084,0.16038822,0.2680758,0.23881683,0.50371486,0.24913657,0.5606282,0.040762216,0.18817407
0.6683129,0.86051846,0.25423053,0.8147065,0.43874103,0.0065637827,0.79627866,0.595006,0.7078521
0.04182951,1.0410111,-0.17785096,1.6296536,0.99115735,2.0942183,1.2393055,0.36965606,0.44210008
1.1339282,0.5327251,0.7533366,0.68423074,0.976354,1.5935904,0.37893745,0.29468358,0.62249434
1.0994059,0.5736565,-0.015388384,0.65285295,0.25021926,0.7332879,-0.20644584,0.55403936,1.1666068
0.27784055,0.43578094,0.46877724,0.4718326,0.36101893,0.5653671,0.95295614,0.44372204,0.39636332
0.48255268,0.38069814,0.27382654,0.36641735,0.47840306,0.890145,0.5959663,0.42331347,0.4423143
-0.13741525,0.3401382,0.22828674,0.66337407,-0.1705098,0.38748905,0.9458959,0.7150487,0.6469586
-0.55372834,0.9872563,0.16137603,1.6393511,0.7029009,0.50718105,2.1279938,0.9135653,0.3731301
-0.2399346,0.5990871,0.1319274,0.7054082,0.44074032,0.68416536,1.4245014,0.8754401,0.5010241
0.16499892,0.44705674,-0.4378496,0.64466137,0.12160646,0.8829179,0.25438794,0.27340353,0.6120893
-0.2217721,0.65501416,-0.22271717,1.0544444,0.4532228,1.0201569,0.93784946,0.3565,0.443029
0.50015604,0.82274544,0.21241546,1.2089801,1.2083733,1.8020976,0.84455764,0.20972523,0.26372916
0.5671882,0.46733472,0.7941443,0.7520894,1.1059277,0.92421037,0.8390379,0.025247857,0.034045048
0.51387966,0.38273135,0.20695114,0.4035714,0.66210055,0.6702675,0.33113122,-0.09797696,0.13799492
-0.03780971,0.21146312,-0.0040076226,0.5528874,0.35891107,0.5295329,0.5244832,0.1537211,0.30037546
0.24929246,0.25537646,0.11717243,0.4120952,0.14385436,0.8574376,0.3452981,0.2147412,0.57097167
0.9997553,0.5957234,0.6358977,0.8348297,0.3996341,0.76760966,0.5983752,0.9293089,0.87751055
0.56501245,0.34589392,0.3755072,0.51165557,0.67635936,0.06381316,0.32890314,-0.17310023,0.14552552
-0.22383097,0.47813416,0.079225056,0.73126614,0.18855645,0.24374682,1.0360384,0.44794962,0.30441236
0.44031614,0.32093918,0.24599496,0.661035,0.14361863,0.56157815,0.36481264,0.39352813,0.659788
0.24631135,0.44139603,-0.17814952,0.6561656,0.4372745,0.40042397,0.37142232,0.22577533,0.6106201
-0.38241467,0.6533358,-0.5792225,1.1982385,0.03561364,1.2643759,1.1517717,0.98024964,0.7729628
