age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
6,6,9,6,4,0,1,4,1,0,0,4,38,0
7,5,9,6,2,3,0,4,1,0,0,0,38,0
6,3,11,1,0,5,1,4,1,0,0,4,38,0
7,3,1,0,2,5,0,2,1,0,0,4,38,0
4,3,9,6,2,9,5,2,0,0,0,4,4,0
6,3,12,8,2,3,5,4,0,0,0,4,38,0
7,3,6,0,3,7,1,2,0,0,0,0,22,0
7,5,11,1,2,3,0,4,1,0,0,6,38,1
5,3,12,8,4,9,1,4,0,9,0,8,38,1
7,3,9,6,2,3,0,4,1,5,0,4,38,1
6,3,15,3,2,3,0,2,1,0,0,9,38,1
4,6,9,6,2,9,0,1,1,0,0,4,18,1
1,3,9,6,4,0,3,4,0,0,0,0,38,0
5,3,7,5,4,11,1,2,1,0,0,8,38,0
6,3,8,5,2,2,0,1,1,0,0,4,41,1
5,3,5,0,2,13,0,0,1,0,0,6,25,0
3,5,11,1,4,4,3,4,1,0,0,2,38,0
5,3,11,1,4,6,4,4,1,0,0,4,38,0
6,3,1,0,2,11,0,4,1,0,0,8,38,0
7,5,12,8,0,3,4,4,0,0,0,6,38,1
6,3,10,9,2,9,0,4,1,0,0,8,38,1
7,3,11,1,5,7,4,2,0,0,0,0,38,0
5,0,6,0,2,4,0,2,1,0,0,4,38,0
7,3,1,0,2,13,0,4,1,0,5,4,38,0
8,3,11,1,0,12,4,4,0,0,0,4,38,0
8,1,9,6,2,12,0,4,1,0,0,4,38,1
0,3,11,1,4,2,3,4,1,0,0,4,38,0
7,8,15,3,2,14,0,1,1,0,0,8,34,1
6,3,11,1,0,3,1,4,1,0,0,9,38,0
7,3,11,1,2,2,0,4,1,0,0,4,38,0
1,1,7,5,4,10,1,4,1,0,0,8,38,0
0,3,15,3,4,11,3,2,1,0,0,6,38,0
7,3,9,6,0,3,3,4,1,0,0,4,38,0
4,0,15,3,2,0,3,4,1,0,0,4,38,0
1,6,15,3,2,7,0,2,1,0,0,0,38,0
7,3,1,0,4,6,4,4,1,0,0,4,32,0
0,3,15,3,4,6,3,4,1,0,0,4,38,0
0,3,11,1,1,0,5,4,0,0,0,0,38,0
5,3,15,3,2,11,0,4,1,0,0,2,41,1
7,5,7,5,2,9,0,4,1,0,0,4,38,0
5,3,6,0,2,6,0,4,1,0,0,6,38,0
7,5,9,6,2,9,0,4,1,0,0,4,38,0
2,3,9,6,2,12,0,4,1,0,0,8,38,0
7,3,11,1,5,0,4,4,0,0,0,4,38,0
3,3,11,1,4,5,1,4,1,0,0,2,38,0
8,0,9,6,2,9,0,2,1,0,0,4,38,1
7,3,11,1,2,6,0,4,1,0,0,2,38,0
7,3,12,8,0,3,4,4,0,0,0,4,38,0
6,6,8,5,2,2,0,4,1,0,0,4,38,0
4,3,8,5,4,9,1,4,1,0,0,6,38,0
3,3,15,3,2,3,5,3,0,0,0,4,38,0
0,3,11,1,4,7,3,4,0,0,0,0,41,0
7,3,14,9,2,9,5,4,0,0,4,8,15,1
7,0,9,6,0,3,1,4,1,0,0,8,38,1
7,4,11,1,0,3,1,4,1,0,0,8,38,0
7,3,15,3,2,12,0,4,1,0,0,4,38,1
7,3,4,0,2,6,0,4,1,0,0,4,25,0
5,3,8,5,2,7,0,4,1,0,0,4,32,0
6,3,11,1,2,0,0,4,1,0,0,6,38,0
4,3,11,1,2,6,0,4,1,5,0,4,38,0
4,3,9,6,2,11,0,4,1,0,0,4,38,0
5,8,5,0,3,14,1,4,1,0,0,4,41,0
7,3,11,1,2,13,0,4,1,0,0,4,38,0
7,3,10,9,2,9,0,4,1,0,0,6,38,1
4,3,15,3,0,12,1,4,1,0,0,8,38,0
6,3,11,1,2,2,0,4,1,0,0,4,38,0
4,3,15,3,0,0,1,4,0,0,0,4,38,0
7,3,11,1,2,0,5,4,0,0,0,4,38,1
7,4,15,3,2,3,0,4,1,0,0,8,38,1
3,8,15,3,4,14,3,4,1,0,0,4,38,0
0,3,15,3,4,9,3,4,1,0,0,0,38,0
5,3,9,6,5,11,3,2,0,0,0,4,38,0
4,5,9,6,2,11,0,4,1,0,0,9,38,1
1,3,15,3,4,6,1,4,1,0,0,4,38,0
9,3,15,3,2,9,2,4,1,0,0,0,38,0
3,3,11,1,4,7,3,4,1,0,0,4,25,0
6,3,7,5,2,0,0,4,1,0,0,4,38,0
9,8,0,0,2,14,0,4,1,0,0,0,38,0
0,3,1,0,4,7,3,4,0,0,0,0,38,0
5,1,5,0,2,4,0,4,1,0,0,4,38,0
0,3,11,1,4,11,1,4,1,0,0,0,38,0
7,3,9,6,2,7,0,4,1,0,0,4,4,0
7,3,11,1,2,7,5,4,0,0,0,4,38,0
8,3,11,1,2,11,0,4,1,0,0,6,38,0
7,3,11,1,0,2,1,4,0,9,0,4,38,1
7,3,11,1,0,11,3,4,0,0,0,2,38,0
7,1,11,1,2,10,0,4,1,0,0,4,38,1
5,3,12,8,2,9,0,4,1,0,0,8,38,0
4,3,6,0,4,11,1,4,1,0,0,4,38,0
7,0,10,9,4,9,1,4,0,0,0,8,38,1
8,3,8,5,2,9,0,4,1,0,0,4,38,0
6,3,15,3,0,2,4,4,0,0,0,4,38,0
4,3,15,3,0,6,4,2,0,0,0,0,38,0
4,3,11,1,2,11,5,1,0,0,1,2,41,0
5,1,9,6,2,10,0,4,1,0,0,4,38,1
4,1,15,3,4,5,1,4,1,0,0,8,38,0
7,5,10,9,2,9,0,4,1,0,4,8,38,1
6,3,15,3,2,11,0,4,1,0,0,6,38,1
7,3,7,5,0,3,4,4,0,0,0,4,8,0
5,0,11,1,4,7,3,2,1,0,0,4,38,0
9,3,12,8,2,3,0,4,1,0,0,4,38,1
7,3,9,6,2,3,0,4,1,9,0,8,38,1
7,5,12,8,4,9,1,4,0,0,0,8,38,0
0,3,15,3,4,12,3,4,0,0,0,4,38,0
4,3,11,1,4,2,1,4,1,0,0,4,38,0
5,4,11,1,2,2,0,4,1,9,0,4,38,1
0,8,0,0,4,14,3,4,0,9,0,0,38,0
4,3,1,0,4,5,3,4,1,0,0,4,38,0
5,1,11,1,4,0,1,4,0,0,0,4,38,0
7,3,11,1,2,5,0,4,1,0,0,4,38,0
2,3,9,6,4,11,2,4,1,0,0,4,38,0
6,3,14,9,2,9,0,4,1,0,0,4,38,1
8,5,11,1,2,7,0,4,1,0,3,8,1,1
4,3,15,3,2,11,5,4,0,1,0,0,38,0
6,3,11,1,4,6,3,4,0,0,0,4,38,0
7,3,6,0,2,5,0,4,1,0,0,8,38,0
8,4,15,3,2,11,0,4,1,0,0,8,38,0
7,1,8,5,2,2,0,2,1,0,0,4,38,1
8,3,15,3,2,11,0,4,1,0,0,8,38,0
1,3,11,1,4,2,1,4,1,0,0,4,38,0
0,3,15,3,4,7,3,4,0,0,0,4,38,0
6,3,9,6,2,3,0,4,1,0,0,8,38,0
4,3,9,6,4,3,3,2,1,0,0,4,10,0
