native-country,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week
-0.33728012,1,4,1,11,8,2,3,0,4,1,0,0,3
-0.8161559,1,4,1,11,5,4,8,1,4,1,0,0,3
0.902913,3,4,1,11,8,2,4,0,4,1,0,0,3
0.822142,0,4,1,15,6,4,12,3,4,1,0,0,3
0.9042365,2,4,1,11,5,0,1,4,4,0,0,0,3
0.16863589,1,4,1,4,5,4,8,1,4,1,0,0,3
0.90127546,3,4,1,9,8,2,10,0,4,1,0,0,3
0.9004725,1,4,1,7,7,2,3,0,4,1,0,0,3
0.9037314,2,4,1,11,5,2,3,0,4,1,0,0,3
0.8978944,2,4,1,11,5,2,3,0,4,1,0,0,3
0.9049113,1,4,1,11,5,2,3,0,4,1,0,0,3
0.90576226,0,4,1,11,5,4,8,1,4,1,0,0,3
0.903672,2,4,1,11,5,2,12,0,4,1,0,0,3
0.918571,0,4,1,11,5,4,1,4,4,0,0,0,3
0.08218594,1,4,1,11,5,2,8,0,4,1,0,0,3
0.90486485,1,4,1,11,5,4,10,1,4,1,0,0,3
0.90250105,2,4,1,11,5,2,3,0,4,1,0,0,3
-0.74437875,2,4,1,11,5,4,7,1,4,1,0,0,3
-0.9214152,2,4,1,11,5,4,8,1,4,1,0,0,3
0.9101491,4,4,0,9,8,2,4,0,4,1,0,0,5
0.9044211,2,4,1,11,5,2,12,0,4,1,0,0,3
0.90340173,2,4,1,11,5,2,3,0,4,1,0,0,3
0.90499294,2,4,1,11,8,2,10,0,4,1,0,0,3
0.9170023,1,4,1,11,5,2,12,1,4,1,0,0,3
0.9221924,2,4,1,11,5,2,1,1,4,1,0,0,3
0.90851563,2,4,0,11,8,2,12,0,4,1,0,0,5
0.90602684,2,4,1,11,5,2,12,0,4,1,0,0,3
0.91560024,2,4,1,11,5,0,1,4,4,0,0,0,3
0.90089357,2,4,0,11,5,4,7,1,4,1,0,0,3
-0.46783432,0,4,1,15,6,4,1,1,4,0,0,0,3
0.9065828,4,4,1,11,8,2,4,0,4,1,0,0,3
-0.2139802,2,4,1,11,5,2,8,0,4,1,0,0,3
