INFO - main.py - 2025-09-02 21:28:28,051 - Co-evolving Conditional Diffusion models
INFO - co_evolving_condition.py - 2025-09-02 21:28:33,393 - Continuous model params: 450829
INFO - co_evolving_condition.py - 2025-09-02 21:28:33,393 - Discrete model params: 675285
INFO - co_evolving_condition.py - 2025-09-02 21:28:33,393 - Total steps: 20
INFO - co_evolving_condition.py - 2025-09-02 21:28:33,394 - Sample steps: 2000
INFO - co_evolving_condition.py - 2025-09-02 21:28:33,394 - Continuous: 120, 5
INFO - co_evolving_condition.py - 2025-09-02 21:28:33,394 - Discrete: 120, 3
INFO - co_evolving_condition.py - 2025-09-02 21:28:35,057 - Epoch :0, diffusion continuous loss: 0.924, discrete loss: 0.325
INFO - co_evolving_condition.py - 2025-09-02 21:28:35,058 - Epoch :0, CL continuous loss: 0.993, discrete loss: 1.000
INFO - co_evolving_condition.py - 2025-09-02 21:28:35,058 - Epoch :0, Total continuous loss: 1.123, discrete loss: 0.525
INFO - co_evolving_condition.py - 2025-09-02 21:28:35,098 - Epoch :1, diffusion continuous loss: 0.960, discrete loss: 0.463
INFO - co_evolving_condition.py - 2025-09-02 21:28:35,098 - Epoch :1, CL continuous loss: 1.000, discrete loss: 1.000
INFO - co_evolving_condition.py - 2025-09-02 21:28:35,099 - Epoch :1, Total continuous loss: 1.160, discrete loss: 0.663
INFO - co_evolving_condition.py - 2025-09-02 21:28:35,137 - Epoch :2, diffusion continuous loss: 1.102, discrete loss: 0.359
INFO - co_evolving_condition.py - 2025-09-02 21:28:35,138 - Epoch :2, CL continuous loss: 1.003, discrete loss: 1.000
INFO - co_evolving_condition.py - 2025-09-02 21:28:35,138 - Epoch :2, Total continuous loss: 1.303, discrete loss: 0.559
INFO - co_evolving_condition.py - 2025-09-02 21:28:35,169 - Epoch :3, diffusion continuous loss: 1.014, discrete loss: 0.343
INFO - co_evolving_condition.py - 2025-09-02 21:28:35,170 - Epoch :3, CL continuous loss: 1.003, discrete loss: 1.000
INFO - co_evolving_condition.py - 2025-09-02 21:28:35,170 - Epoch :3, Total continuous loss: 1.215, discrete loss: 0.544
INFO - co_evolving_condition.py - 2025-09-02 21:28:35,207 - Epoch :4, diffusion continuous loss: 1.057, discrete loss: 0.444
