iter	TotalF1	MultiClass
0	0.8767558935	1.052820071
1	0.8769643742	1.009593105
2	0.8783117396	0.9704833373
3	0.8780438804	0.9340197428
4	0.8778614016	0.9001379903
5	0.8789440135	0.8687462651
6	0.8778614016	0.8392530889
7	0.8770770139	0.811887301
8	0.8775097116	0.7861508917
9	0.8799622781	0.7618455925
10	0.8799622781	0.7387985019
11	0.8799622781	0.7173002648
12	0.8797323671	0.6967550314
13	0.8801567473	0.6772878649
14	0.8803644553	0.6595889527
15	0.880768858	0.6419706779
16	0.880768858	0.6252764989
17	0.8807468925	0.6093831643
18	0.8798589143	0.5936845193
19	0.8796622436	0.5793391466
20	0.8795790133	0.5654950376
21	0.8792323485	0.5525264034
22	0.8805473357	0.5400235955
23	0.8802560054	0.527963059
24	0.880135483	0.5167106187
25	0.8804631894	0.5057700053
26	0.8798725554	0.4952944229
27	0.8802986967	0.4847062461
28	0.8815641068	0.4750965026
29	0.8801252174	0.4659602295
30	0.8803212324	0.4570398854
31	0.880713286	0.4485412734
32	0.8803099881	0.440364816
33	0.8801026894	0.4325201122
34	0.8794806036	0.4249854457
35	0.8790772263	0.4176865754
36	0.8798930369	0.4105856981
37	0.8795237854	0.4033573442
38	0.8798409098	0.397068533
39	0.8798409098	0.3902964136
40	0.8798409098	0.3844135151
41	0.8816796636	0.3780849508
42	0.8816796636	0.372518002
43	0.8815044165	0.3667898981
44	0.8815044165	0.3613102957
45	0.8801421952	0.3560014587
46	0.8816157767	0.3507684198
47	0.8815759263	0.345700282
48	0.8813697215	0.3412761971
49	0.8809572243	0.3365069632
50	0.8811412696	0.3319594534
51	0.8817619823	0.3275133822
52	0.8809470244	0.3233798894
53	0.8818119373	0.319366687
54	0.8818002177	0.3153727017
55	0.8826455602	0.3115957366
56	0.8824396607	0.3080565015
57	0.8881149102	0.3046399483
58	0.8912439992	0.3011010045
59	0.8920470187	0.2975602031
60	0.8930548167	0.2941037196
61	0.8930548167	0.291021628
62	0.8928419448	0.2880557096
63	0.8926533225	0.2851895351
64	0.8926452339	0.282270942
65	0.8924566122	0.2794472631
66	0.8924485285	0.276740758
67	0.8932808243	0.2744775111
68	0.8928419448	0.272076261
69	0.8920388624	0.2698547837
70	0.8921953898	0.2677437273
71	0.8932353831	0.26546908
72	0.8940465684	0.2632712354
73	0.8936450272	0.2612072493
74	0.8934563108	0.2592844053
75	0.893030522	0.25751076
76	0.893030522	0.2554082334
77	0.8930223419	0.2534468594
78	0.8928311283	0.2515082972
79	0.8930195949	0.2496115511
80	0.8930195949	0.2480255723
81	0.8932162701	0.2465141253
82	0.8934075431	0.2451074373
83	0.8931997226	0.243352582
84	0.8931997226	0.2417919388
85	0.893188695	0.2405141507
86	0.8938118606	0.2391589973
87	0.8938118606	0.2376415467
88	0.8932053795	0.2363497355
89	0.8938036067	0.2347505247
90	0.894245901	0.2335182037
91	0.8946312344	0.2325279626
92	0.8940411523	0.2313657786
93	0.8938363779	0.2300978264
94	0.8934830369	0.2289964963
95	0.8932942214	0.2280673148
96	0.8934830369	0.2270783792
97	0.8943166239	0.226001898
98	0.8939307955	0.225080206
99	0.8937110188	0.2239391272
100	0.8963350403	0.2230712637
101	0.8969403395	0.222050904
102	0.8969477364	0.2214414685
103	0.8959511799	0.2206561664
104	0.8981702363	0.2197141449
105	0.8977837396	0.2187302858
106	0.8969602679	0.2178966694
107	0.8973664843	0.2170593684
108	0.8975632628	0.2163456341
109	0.8981681734	0.2156070233
110	0.8975705407	0.2148984599
111	0.8983649798	0.2142473087
112	0.8981807452	0.2137553067
113	0.897546693	0.213125813
114	0.8971308761	0.2126197026
115	0.8973425423	0.2120412265
116	0.8969712097	0.2114548646
117	0.8979713713	0.2108583342
118	0.8981735364	0.2102522794
119	0.8991861717	0.2097718307
120	0.899164693	0.2092903254
121	0.8987854371	0.2085751006
122	0.8989750876	0.2081123465
123	0.8985833578	0.2075380667
124	0.8993990131	0.207063614
125	0.8991790504	0.2065231368
126	0.8989912319	0.2060822672
127	0.9012105763	0.2056928959
128	0.9012261636	0.2051867191
129	0.9010136785	0.2047445084
130	0.900592242	0.204329023
131	0.9006061436	0.2039069228
132	0.9012105763	0.2035135595
133	0.9014005998	0.2031898459
134	0.9014005998	0.2027377499
135	0.9022156003	0.2022994173
136	0.9030302401	0.2018750125
137	0.902222351	0.2014970846
138	0.9030302401	0.2011953469
139	0.9032404372	0.200802349
140	0.9042365325	0.2004842656
141	0.9050716019	0.1999962204
142	0.9046711691	0.199679138
143	0.9042707364	0.1993926982
144	0.9046837413	0.1989881243
145	0.9040590614	0.1986361887
146	0.9038574858	0.1983166511
147	0.9046565009	0.1980723711
148	0.9046629111	0.1976855763
149	0.9046648292	0.1974054835
150	0.9044465764	0.1971886259
151	0.9040525951	0.1968469297
152	0.9040590614	0.1964719024
153	0.9040654915	0.1961488093
154	0.9044741156	0.1959488228
155	0.9040736955	0.195646872
156	0.9040863072	0.1954006402
157	0.905090331	0.1951721286
158	0.9057000556	0.1949237918
159	0.9057061369	0.1947112536
160	0.9057061369	0.1944790575
161	0.9055090226	0.1941403831
162	0.9059232042	0.1939492192
163	0.9061262934	0.1936628878
164	0.9065324089	0.193424469
165	0.9063293616	0.1932061786
166	0.9063410284	0.1929029469
167	0.9059466339	0.1926109086
168	0.906136188	0.1924456864
169	0.9073425967	0.1923010697
170	0.9071338125	0.1921252963
171	0.9071338125	0.1919874907
172	0.9069423835	0.191721309
173	0.9063525781	0.1915357833
174	0.9067509115	0.1913562563
175	0.907359503	0.1911533446
176	0.9075624114	0.1910147898
177	0.9077652995	0.1908542765
178	0.9085763683	0.1907557637
179	0.9085818004	0.19045974
180	0.9083789963	0.1903361474
181	0.9085709019	0.1902319849
182	0.9079603606	0.1900498129
183	0.9083569469	0.1898370359
184	0.9091680739	0.1895864814
185	0.9089706569	0.189413473
186	0.9087732429	0.1892283705
187	0.9085758319	0.1890995029
188	0.9089814879	0.1888491069
189	0.9091842858	0.1887412472
