iter	Passed	Remaining
0	74	148450
1	77	77688
2	79	52849
3	81	40516
4	83	33194
5	85	28414
6	88	25263
7	90	22629
8	93	20651
9	95	19035
10	97	17555
11	99	16506
12	101	15573
13	104	14770
14	106	14087
15	109	13617
16	112	13086
17	114	12645
18	117	12239
19	118	11780
20	120	11378
21	125	11264
22	127	10963
23	129	10686
24	131	10354
25	133	10136
26	137	10021
27	139	9849
28	141	9648
29	144	9461
30	145	9240
31	146	9028
32	149	8934
33	151	8769
34	153	8617
35	155	8486
36	157	8371
37	160	8269
38	167	8406
39	170	8336
40	171	8189
41	174	8128
42	176	8014
43	179	7981
44	185	8039
45	187	7974
46	192	7994
47	195	7953
48	198	7916
49	202	7882
50	205	7851
51	208	7826
52	211	7766
53	213	7702
54	216	7664
55	220	7667
56	224	7657
57	228	7638
58	231	7610
59	233	7565
60	236	7519
61	238	7467
62	241	7427
63	244	7403
64	249	7413
65	251	7378
66	254	7347
67	257	7323
68	260	7301
69	263	7278
70	266	7239
71	269	7226
72	272	7187
73	274	7155
74	277	7117
75	280	7089
76	284	7106
77	287	7083
78	290	7068
79	293	7044
80	296	7036
81	299	7004
82	301	6974
83	305	6974
84	309	6969
85	312	6958
86	315	6942
87	318	6925
88	321	6900
89	324	6894
90	327	6877
91	330	6847
92	332	6825
93	335	6807
94	339	6804
95	343	6809
96	346	6801
97	350	6798
98	353	6795
99	356	6781
100	360	6777
101	364	6786
102	367	6771
103	370	6755
104	373	6740
105	376	6732
106	380	6724
107	383	6719
108	386	6701
109	389	6696
110	394	6705
111	397	6706
112	401	6701
113	405	6702
114	408	6691
115	410	6673
116	414	6673
117	418	6681
118	422	6673
119	425	6666
120	429	6662
121	433	6666
122	436	6653
123	440	6659
124	445	6675
125	448	6666
126	451	6654
127	455	6663
128	460	6675
129	464	6678
130	467	6671
131	472	6685
132	477	6707
133	481	6702
134	485	6700
135	489	6708
136	493	6709
137	496	6699
138	501	6707
139	504	6701
140	507	6686
141	510	6682
142	514	6686
143	518	6683
144	522	6690
145	529	6720
146	533	6721
147	542	6784
148	548	6811
149	551	6801
150	556	6815
151	560	6815
152	564	6811
153	568	6809
154	572	6817
155	576	6812
156	579	6805
157	583	6801
158	586	6791
159	589	6782
160	594	6793
161	597	6784
162	600	6773
163	605	6776
164	610	6785
165	614	6785
166	617	6777
167	622	6785
168	625	6779
169	628	6770
170	634	6784
171	637	6777
172	641	6775
173	646	6787
174	650	6788
175	654	6786
176	658	6781
177	662	6779
178	665	6765
179	667	6753
180	672	6757
181	675	6752
