step,mloss,gloss,loss
100.0,1.4185,1.0663,2.4848
200.0,1.1964,0.9998,2.1962
300.0,1.1295,0.9814,2.1109
400.0,1.0895,0.9501,2.0396
500.0,1.0649,0.8624,1.9273
600.0,1.0487,0.7627,1.8114
700.0,1.0302,0.6151,1.6453
800.0,1.0089,0.5578,1.5667
900.0,1.0093,0.5295,1.5388000000000002
1000.0,0.9967,0.5196,1.5163
1100.0,0.9817,0.5106,1.4923000000000002
1200.0,0.9855,0.5086,1.4941
1300.0,0.9813,0.4999,1.4811999999999999
1400.0,0.9758,0.5057,1.4815
1500.0,0.9749,0.4942,1.4691
1600.0,0.9735,0.4899,1.4634
1700.0,0.972,0.493,1.4649999999999999
1800.0,0.9685,0.4941,1.4626000000000001
1900.0,0.9667,0.4951,1.4618
2000.0,0.9674,0.4971,1.4645000000000001
2100.0,0.9686,0.4848,1.4534
2200.0,0.968,0.4888,1.4567999999999999
2300.0,0.9665,0.4902,1.4567
2400.0,0.976,0.4849,1.4609
2500.0,0.9663,0.4829,1.4492
2600.0,0.962,0.4848,1.4468
2700.0,0.9631,0.4913,1.4544
2800.0,0.96,0.4848,1.4447999999999999
2900.0,0.9589,0.4815,1.4404
3000.0,0.9533,0.4852,1.4385000000000001
3100.0,0.9583,0.4805,1.4388
3200.0,0.956,0.4836,1.4396
3300.0,0.9579,0.4853,1.4432
3400.0,0.959,0.484,1.443
3500.0,0.9538,0.4814,1.4352
3600.0,1.2099,0.5629,1.7728
3700.0,1.1129,0.5038,1.6167
3800.0,1.0243,0.4911,1.5154
3900.0,1.005,0.4876,1.4926
4000.0,0.976,0.4861,1.4621
4100.0,0.9678,0.4813,1.4491
4200.0,0.967,0.4849,1.4519
4300.0,0.9619,0.4817,1.4436
4400.0,1.0302,0.4892,1.5194
4500.0,1.1571,0.5074,1.6644999999999999
4600.0,1.0212,0.4873,1.5085000000000002
4700.0,0.995,0.4847,1.4797
4800.0,0.9764,0.4823,1.4587
4900.0,0.9656,0.4796,1.4452
5000.0,0.9647,0.48,1.4447
5100.0,0.9565,0.4803,1.4368
5200.0,0.9597,0.4815,1.4412
5300.0,0.962,0.4791,1.4411
5400.0,0.9603,0.4786,1.4389
5500.0,0.9536,0.481,1.4346
5600.0,0.9588,0.4825,1.4413
5700.0,0.9536,0.48,1.4336
5800.0,0.9492,0.4815,1.4307
5900.0,0.9532,0.4768,1.4300000000000002
6000.0,0.9492,0.4791,1.4283000000000001
6100.0,0.9514,0.4779,1.4293
6200.0,0.9514,0.4774,1.4288
6300.0,0.9494,0.4777,1.4271
6400.0,0.9482,0.4771,1.4253
6500.0,0.9482,0.4806,1.4288
6600.0,0.9515,0.4793,1.4308
6700.0,0.9538,0.4859,1.4397
6800.0,0.9504,0.4759,1.4263
6900.0,0.9486,0.4766,1.4252
7000.0,1.0633,0.4998,1.5631
7100.0,1.0253,0.4896,1.5149000000000001
7200.0,0.9572,0.481,1.4382000000000001
7300.0,0.9515,0.478,1.4295
7400.0,0.9471,0.4772,1.4243000000000001
7500.0,0.9429,0.4766,1.4195
7600.0,0.945,0.4763,1.4213
7700.0,0.9447,0.4769,1.4216
7800.0,0.9536,0.4918,1.4454
7900.0,0.9411,0.4739,1.415
8000.0,0.944,0.4738,1.4178
8100.0,0.9395,0.4751,1.4146
8200.0,0.9389,0.4769,1.4158
8300.0,0.9413,0.4746,1.4159000000000002
8400.0,0.9522,0.4764,1.4286
8500.0,0.9413,0.4768,1.4181
8600.0,0.938,0.4754,1.4134
8700.0,0.9394,0.4759,1.4153
8800.0,0.9382,0.4747,1.4129
8900.0,0.9423,0.4742,1.4165
9000.0,0.9383,0.4742,1.4125
9100.0,0.9429,0.4745,1.4174
9200.0,0.9405,0.4745,1.415
9300.0,0.9389,0.4741,1.413
9400.0,0.9416,0.4749,1.4165
9500.0,0.936,0.4725,1.4085
9600.0,0.9342,0.4743,1.4085
9700.0,0.9478,0.4746,1.4224
9800.0,1.0565,0.4864,1.5429
9900.0,0.9504,0.4781,1.4285
10000.0,0.945,0.4759,1.4209
10100.0,0.9435,0.4752,1.4187
10200.0,0.939,0.4766,1.4156
10300.0,0.9411,0.4735,1.4146
10400.0,0.937,0.474,1.411
10500.0,0.9319,0.4722,1.4041
10600.0,0.933,0.4744,1.4074
10700.0,0.9348,0.4747,1.4095
10800.0,0.9311,0.4736,1.4047
10900.0,0.9348,0.4726,1.4074
11000.0,1.0526,0.4936,1.5462
11100.0,0.961,0.4805,1.4415
11200.0,0.9374,0.4728,1.4102000000000001
11300.0,0.9345,0.4729,1.4074
11400.0,0.9415,0.4735,1.415
11500.0,0.9328,0.4731,1.4059
11600.0,0.9284,0.4741,1.4025
11700.0,0.9376,0.4738,1.4114
11800.0,0.9255,0.4708,1.3963
11900.0,0.933,0.4722,1.4052
12000.0,0.9265,0.4706,1.3971
12100.0,0.9291,0.4731,1.4022000000000001
12200.0,0.9297,0.4709,1.4005999999999998
12300.0,0.9284,0.4709,1.3993
12400.0,0.9285,0.4733,1.4018
12500.0,0.9222,0.4711,1.3933
12600.0,0.9257,0.4717,1.3974
12700.0,0.9279,0.4716,1.3995
12800.0,0.927,0.47,1.397
12900.0,0.9259,0.4703,1.3961999999999999
13000.0,0.9221,0.4704,1.3925
13100.0,0.9245,0.4703,1.3948
13200.0,0.9282,0.4713,1.3995
13300.0,0.927,0.4714,1.3984
13400.0,0.9229,0.4706,1.3935
13500.0,0.9253,0.4744,1.3997
13600.0,0.9289,0.4779,1.4068
13700.0,0.9225,0.4704,1.3929
13800.0,0.9295,0.4699,1.3994
13900.0,0.9206,0.4708,1.3914
14000.0,0.9262,0.4689,1.3951
14100.0,0.924,0.4704,1.3944
14200.0,0.9239,0.4728,1.3967
14300.0,0.9271,0.4703,1.3974
14400.0,0.9185,0.47,1.3885
14500.0,0.9194,0.4694,1.3888
14600.0,0.9177,0.4694,1.3871
14700.0,0.9184,0.4687,1.3871
14800.0,0.9229,0.4685,1.3914
14900.0,0.9158,0.4697,1.3855
15000.0,0.9215,0.471,1.3925
15100.0,0.9172,0.4702,1.3874
15200.0,0.9203,0.4692,1.3895
15300.0,0.9148,0.4679,1.3826999999999998
15400.0,0.9141,0.4679,1.3820000000000001
15500.0,0.9219,0.4696,1.3915000000000002
15600.0,0.9178,0.4694,1.3872
15700.0,0.9146,0.4687,1.3833
15800.0,0.9162,0.4665,1.3827
15900.0,0.9231,0.469,1.3921000000000001
16000.0,0.9175,0.4668,1.3843
16100.0,0.9187,0.4668,1.3855
16200.0,0.9144,0.4676,1.3820000000000001
16300.0,0.916,0.4667,1.3827
16400.0,0.9094,0.4668,1.3761999999999999
16500.0,0.9154,0.4686,1.384
16600.0,0.9137,0.4691,1.3828
16700.0,0.9107,0.4684,1.3791
16800.0,0.9115,0.4661,1.3776
16900.0,0.9112,0.4679,1.3791
17000.0,0.9145,0.4665,1.381
17100.0,0.9149,0.4691,1.3840000000000001
17200.0,0.908,0.4679,1.3759000000000001
17300.0,0.9114,0.467,1.3784
17400.0,0.9152,0.4667,1.3819
17500.0,0.9075,0.4664,1.3739
17600.0,0.9079,0.4664,1.3743
17700.0,0.918,0.4683,1.3863
17800.0,0.9099,0.4652,1.3751
17900.0,0.9156,0.4664,1.382
18000.0,0.9117,0.4664,1.3780999999999999
18100.0,0.9097,0.4653,1.375
18200.0,0.91,0.4647,1.3747
18300.0,0.9098,0.4659,1.3757000000000001
18400.0,0.9153,0.4639,1.3792
18500.0,0.9077,0.4672,1.3749
18600.0,0.9104,0.4641,1.3745
18700.0,0.908,0.4637,1.3717000000000001
18800.0,0.9079,0.4657,1.3736000000000002
18900.0,0.9067,0.4659,1.3725999999999998
19000.0,0.9102,0.4654,1.3756
19100.0,0.9052,0.4657,1.3709
19200.0,0.9061,0.4638,1.3699
19300.0,0.9072,0.4646,1.3718
19400.0,0.9094,0.4651,1.3745
19500.0,0.9122,0.4653,1.3775
19600.0,0.907,0.4634,1.3704
19700.0,0.9157,0.4639,1.3796
19800.0,0.908,0.4642,1.3722
19900.0,0.9028,0.4637,1.3665
20000.0,0.9066,0.4631,1.3697
20100.0,0.9087,0.4641,1.3728
20200.0,0.9053,0.4637,1.369
20300.0,0.9064,0.4645,1.3709
20400.0,0.9055,0.4626,1.3681
20500.0,0.9052,0.4616,1.3668
20600.0,0.904,0.4633,1.3673
20700.0,0.9032,0.4623,1.3655
20800.0,0.9069,0.4639,1.3708
20900.0,0.9048,0.4626,1.3674
21000.0,0.9061,0.4628,1.3689
21100.0,0.9057,0.4626,1.3683
21200.0,0.9071,0.4623,1.3694
21300.0,0.906,0.4631,1.3691
21400.0,0.9045,0.4615,1.366
21500.0,0.9061,0.4621,1.3682
21600.0,0.9097,0.4622,1.3719
21700.0,0.9053,0.4632,1.3685
21800.0,0.9047,0.4618,1.3664999999999998
21900.0,0.904,0.4653,1.3693
22000.0,0.9027,0.4618,1.3645
22100.0,0.9022,0.4613,1.3635
22200.0,0.9003,0.4615,1.3618000000000001
22300.0,0.9029,0.4604,1.3633
22400.0,0.9012,0.4619,1.3631
