step,mloss,gloss,loss
100.0,0.0,0.5711,0.5711
200.0,0.0,0.4787,0.4787
300.0,0.0,0.4471,0.4471
400.0,0.0,0.4334,0.4334
500.0,0.0,0.4266,0.4266
600.0,0.0,0.4212,0.4212
700.0,0.0,0.418,0.418
800.0,0.0,0.4122,0.4122
900.0,0.0,0.4116,0.4116
1000.0,0.0,0.4106,0.4106
1100.0,0.0,0.4068,0.4068
1200.0,0.0,0.4021,0.4021
1300.0,0.0,0.3987,0.3987
1400.0,0.0,0.4019,0.4019
1500.0,0.0,0.3963,0.3963
1600.0,0.0,0.3952,0.3952
1700.0,0.0,0.3922,0.3922
1800.0,0.0,0.3937,0.3937
1900.0,0.0,0.3876,0.3876
2000.0,0.0,0.3853,0.3853
2100.0,0.0,0.3841,0.3841
2200.0,0.0,0.3839,0.3839
2300.0,0.0,0.3825,0.3825
2400.0,0.0,0.381,0.381
2500.0,0.0,0.3834,0.3834
2600.0,0.0,0.3784,0.3784
2700.0,0.0,0.3787,0.3787
2800.0,0.0,0.3761,0.3761
2900.0,0.0,0.3753,0.3753
3000.0,0.0,0.374,0.374
3100.0,0.0,0.3728,0.3728
3200.0,0.0,0.3699,0.3699
3300.0,0.0,0.3707,0.3707
3400.0,0.0,0.3662,0.3662
3500.0,0.0,0.3709,0.3709
3600.0,0.0,0.3714,0.3714
3700.0,0.0,0.3679,0.3679
3800.0,0.0,0.3664,0.3664
3900.0,0.0,0.367,0.367
4000.0,0.0,0.3677,0.3677
4100.0,0.0,0.3647,0.3647
4200.0,0.0,0.3627,0.3627
4300.0,0.0,0.3592,0.3592
4400.0,0.0,0.3622,0.3622
4500.0,0.0,0.3596,0.3596
4600.0,0.0,0.3585,0.3585
4700.0,0.0,0.3614,0.3614
4800.0,0.0,0.3588,0.3588
4900.0,0.0,0.3584,0.3584
5000.0,0.0,0.3584,0.3584
