step,mloss,gloss,loss
100.0,0.8684,1.0004,1.8687999999999998
200.0,0.8708,0.985,1.8558
300.0,0.796,0.8829,1.6789
400.0,0.7805,0.8612,1.6417
500.0,0.7906,0.855,1.6456
600.0,0.7995,0.7746,1.5741
700.0,0.7645,0.7227,1.4872
800.0,0.7652,0.6917,1.4569
900.0,0.7529,0.5971,1.35
1000.0,0.7429,0.5863,1.3292000000000002
1100.0,0.7445,0.5864,1.3309000000000002
1200.0,0.7376,0.5794,1.3170000000000002
1300.0,0.7561,0.578,1.3340999999999998
1400.0,0.7658,0.601,1.3668
1500.0,0.7385,0.5769,1.3154
1600.0,0.7347,0.5734,1.3081
1700.0,0.7488,0.571,1.3197999999999999
1800.0,0.7382,0.5642,1.3024
1900.0,0.7426,0.5175,1.2601
2000.0,0.7362,0.4998,1.236
2100.0,0.7079,0.489,1.1968999999999999
2200.0,0.7322,0.4809,1.2130999999999998
2300.0,0.7228,0.4449,1.1677
2400.0,0.7357,0.4337,1.1694
2500.0,0.7334,0.4316,1.165
2600.0,0.7344,0.4289,1.1633
2700.0,0.7311,0.4179,1.149
2800.0,0.7211,0.4183,1.1394
2900.0,0.7189,0.4178,1.1367
3000.0,0.7173,0.414,1.1313
3100.0,0.7089,0.4071,1.116
3200.0,0.7191,0.4104,1.1295
3300.0,0.7178,0.414,1.1318
3400.0,0.7172,0.4074,1.1246
3500.0,0.7109,0.4076,1.1185
3600.0,0.7097,0.4079,1.1176
3700.0,0.7257,0.4105,1.1362
3800.0,0.7042,0.4095,1.1137000000000001
3900.0,0.7037,0.402,1.1057000000000001
4000.0,0.7162,0.4059,1.1220999999999999
4100.0,0.7059,0.4047,1.1106
4200.0,0.7213,0.4056,1.1269
4300.0,0.6995,0.3972,1.0967
4400.0,0.7024,0.4085,1.1109
4500.0,0.7094,0.4073,1.1167
4600.0,0.7119,0.4059,1.1178
4700.0,0.7036,0.4019,1.1055
4800.0,0.6977,0.3959,1.0936
4900.0,0.6942,0.3988,1.093
5000.0,0.6914,0.3972,1.0886
5100.0,0.6993,0.3986,1.0979
5200.0,0.7089,0.3999,1.1088
5300.0,0.706,0.4005,1.1065
5400.0,0.7016,0.3997,1.1013
5500.0,0.6968,0.3991,1.0958999999999999
5600.0,0.7062,0.3948,1.101
5700.0,0.6899,0.3961,1.0859999999999999
5800.0,0.6957,0.4068,1.1025
5900.0,0.694,0.3978,1.0917999999999999
6000.0,0.6978,0.3942,1.092
6100.0,0.7079,0.3995,1.1074
6200.0,0.6943,0.3953,1.0896
6300.0,0.6938,0.3965,1.0903
6400.0,0.6912,0.3964,1.0876000000000001
6500.0,0.6936,0.3991,1.0927
6600.0,0.6985,0.3911,1.0896
6700.0,0.6918,0.3981,1.0899
6800.0,0.6871,0.3966,1.0837
6900.0,0.7077,0.4009,1.1086
7000.0,0.688,0.3921,1.0800999999999998
7100.0,0.6892,0.3915,1.0807
7200.0,0.6979,0.3922,1.0901
7300.0,0.6939,0.3993,1.0932
7400.0,0.7061,0.4208,1.1269
7500.0,0.6838,0.3897,1.0735
7600.0,0.6941,0.3891,1.0832000000000002
7700.0,0.6907,0.3928,1.0835
7800.0,0.677,0.3849,1.0619
7900.0,0.6845,0.3895,1.074
8000.0,0.6758,0.3888,1.0646
8100.0,0.6837,0.3915,1.0752
8200.0,0.6901,0.3881,1.0782
8300.0,0.6846,0.3836,1.0682
8400.0,0.6948,0.3875,1.0823
8500.0,0.6745,0.3863,1.0608
8600.0,0.6761,0.3805,1.0566
8700.0,0.6824,0.3847,1.0671
8800.0,0.6795,0.3834,1.0629
8900.0,0.6725,0.3841,1.0566
9000.0,0.6834,0.3913,1.0747
9100.0,0.6784,0.3874,1.0658
9200.0,0.6872,0.3869,1.0741
9300.0,0.671,0.3853,1.0563
9400.0,0.6746,0.3837,1.0583
9500.0,0.6692,0.3797,1.0489
9600.0,0.682,0.3837,1.0657
9700.0,0.6694,0.3805,1.0499
9800.0,0.6813,0.385,1.0663
9900.0,0.6797,0.3802,1.0598999999999998
10000.0,0.6735,0.3845,1.058
10100.0,0.6818,0.3792,1.061
10200.0,0.6634,0.3802,1.0436
10300.0,0.6813,0.3764,1.0577
10400.0,0.6849,0.3839,1.0688
10500.0,0.6799,0.3819,1.0617999999999999
10600.0,0.6788,0.3858,1.0646
10700.0,0.6625,0.3711,1.0335999999999999
10800.0,0.6705,0.3809,1.0514000000000001
10900.0,0.6696,0.3774,1.047
11000.0,0.6745,0.3795,1.054
11100.0,0.6663,0.3819,1.0482
11200.0,0.6781,0.3771,1.0552000000000001
11300.0,0.678,0.3741,1.0521
11400.0,0.6725,0.38,1.0525
11500.0,0.6718,0.3773,1.0491
11600.0,0.6681,0.3753,1.0434
11700.0,0.6766,0.3789,1.0554999999999999
11800.0,0.6662,0.3779,1.0441
11900.0,0.6661,0.3695,1.0356
12000.0,0.6684,0.3723,1.0407
12100.0,0.6601,0.3706,1.0307
12200.0,0.6734,0.3725,1.0459
12300.0,0.6763,0.3759,1.0522
12400.0,0.6681,0.3733,1.0414
12500.0,0.6665,0.3694,1.0359
12600.0,0.6689,0.3725,1.0414
12700.0,0.6607,0.3716,1.0323
12800.0,0.6609,0.3725,1.0334
12900.0,0.6607,0.375,1.0356999999999998
13000.0,0.659,0.3729,1.0319
13100.0,0.6741,0.3747,1.0488
13200.0,0.6566,0.3637,1.0203
13300.0,0.656,0.3669,1.0229
13400.0,0.6657,0.3675,1.0332
13500.0,0.6686,0.3676,1.0362
13600.0,0.6692,0.3731,1.0423
13700.0,0.6669,0.3745,1.0414
13800.0,0.6637,0.3695,1.0332
13900.0,0.6596,0.3697,1.0292999999999999
14000.0,0.6602,0.3681,1.0283
14100.0,0.658,0.3652,1.0232
14200.0,0.6691,0.369,1.0381
14300.0,0.6662,0.3676,1.0338
14400.0,0.6636,0.3694,1.033
14500.0,0.6698,0.3663,1.0361
14600.0,0.6546,0.3729,1.0274999999999999
14700.0,0.6817,0.3739,1.0556
14800.0,0.6644,0.3667,1.0311
14900.0,0.6589,0.3646,1.0235
15000.0,0.6693,0.3645,1.0338
15100.0,0.6585,0.3641,1.0226
15200.0,0.6572,0.3609,1.0181
15300.0,0.6613,0.3645,1.0258
15400.0,0.6683,0.3612,1.0295
15500.0,0.666,0.3569,1.0229
15600.0,0.6523,0.3571,1.0093999999999999
15700.0,0.6566,0.3632,1.0198
15800.0,0.6582,0.3652,1.0234
15900.0,0.6738,0.3619,1.0356999999999998
16000.0,0.6566,0.3655,1.0221
16100.0,0.6592,0.3615,1.0207
16200.0,0.6539,0.3635,1.0174
16300.0,0.66,0.3596,1.0196
16400.0,0.662,0.3676,1.0296
16500.0,0.6623,0.3621,1.0244
16600.0,0.6563,0.3596,1.0159
