step,mloss,gloss,loss
100.0,,2.2757,
200.0,2.4165,1.0033,3.4198000000000004
300.0,2.4068,0.9838,3.3906
400.0,2.3832,0.9552,3.3384
500.0,2.3458,0.9349,3.2807
600.0,2.2833,0.9244,3.2077
700.0,2.2036,0.8998,3.1033999999999997
800.0,2.1193,0.8813,3.0006
900.0,2.0621,0.8591,2.9212
1000.0,1.9955,0.8314,2.8269
1100.0,1.9426,0.8045,2.7471
1200.0,1.9209,0.7808,2.7017
1300.0,1.8777,0.761,2.6387
1400.0,1.8468,0.7387,2.5855
1500.0,1.8206,0.7174,2.5380000000000003
1600.0,1.8016,0.7061,2.5077
1700.0,1.7893,0.6906,2.4798999999999998
1800.0,1.7659,0.6786,2.4445
1900.0,1.7496,0.6701,2.4197
2000.0,1.7296,0.6633,2.3929
