step,mloss,gloss,loss
100.0,1.7211,1.9607,3.6818
200.0,1.4244,0.9904,2.4148
300.0,1.3755,0.948,2.3235
400.0,1.315,0.8747,2.1897
500.0,1.2497,0.7989,2.0486
600.0,1.1897,0.7444,1.9341
700.0,1.1502,0.7181,1.8682999999999998
800.0,1.1322,0.7049,1.8371
900.0,1.121,0.6907,1.8117
1000.0,1.1293,0.6727,1.802
1100.0,1.0882,0.6485,1.7367
1200.0,1.1016,0.635,1.7366
1300.0,1.0844,0.6283,1.7127
1400.0,1.0931,0.6091,1.7022
1500.0,1.0883,0.5995,1.6878000000000002
1600.0,1.0589,0.591,1.6499
1700.0,1.0688,0.5829,1.6517
1800.0,1.0663,0.5778,1.6441
1900.0,1.0579,0.5741,1.6320000000000001
2000.0,1.0605,0.572,1.6324999999999998
