step,mloss,gloss,loss
100.0,1.721,1.9603,3.6813000000000002
200.0,1.4266,0.9901,2.4167
300.0,1.3812,0.9464,2.3276
400.0,1.3287,0.87,2.1987
500.0,1.2695,0.7983,2.0678
600.0,1.2014,0.7488,1.9502000000000002
700.0,1.1555,0.7179,1.8734
800.0,1.1312,0.7018,1.833
900.0,1.1338,0.6774,1.8112
1000.0,1.1206,0.6553,1.7759
1100.0,1.0904,0.6356,1.726
1200.0,1.0923,0.6261,1.7184
1300.0,1.0761,0.6194,1.6955
1400.0,1.0892,0.5993,1.6885
1500.0,1.078,0.5884,1.6664
1600.0,1.057,0.5767,1.6337
1700.0,1.0691,0.5649,1.634
1800.0,1.0628,0.5519,1.6147
1900.0,1.049,0.5331,1.5821
2000.0,1.0542,0.5255,1.5796999999999999
2100.0,1.0462,0.5017,1.5479
2200.0,1.0582,0.4987,1.5569
2300.0,1.0491,0.4819,1.531
2400.0,1.0605,0.4798,1.5403
2500.0,1.0414,0.4764,1.5178
2600.0,1.0398,0.4744,1.5142
2700.0,1.0376,0.4649,1.5025
2800.0,1.0352,0.4639,1.4990999999999999
2900.0,1.055,0.4746,1.5295999999999998
3000.0,1.0393,0.4598,1.4990999999999999
3100.0,1.0387,0.4546,1.4933
3200.0,1.0401,0.4583,1.4984
3300.0,1.0195,0.4531,1.4726000000000001
3400.0,1.0274,0.4579,1.4853
3500.0,1.0154,0.4504,1.4658000000000002
3600.0,1.0298,0.4565,1.4863
3700.0,1.0191,0.448,1.4670999999999998
3800.0,1.0214,0.4456,1.467
3900.0,1.0149,0.4464,1.4613
4000.0,1.0341,0.4438,1.4779
4100.0,1.0145,0.4441,1.4586
4200.0,1.022,0.4422,1.4642
4300.0,1.0236,0.44,1.4636
4400.0,1.0214,0.437,1.4584000000000001
4500.0,1.0267,0.4394,1.4661
4600.0,1.0093,0.4375,1.4468
4700.0,1.013,0.4368,1.4498
4800.0,1.0241,0.4332,1.4573
4900.0,1.0167,0.4383,1.455
5000.0,1.0077,0.4336,1.4413
