0;1;2;3;4;5;6;7;8;9;10;11;12;13
52.0;3.0;494223.0;8.0;7.0;3.0;7.0;3.0;3.0;2.0;34095.0;653.0;50.0;17.0
51.0;4.0;483201.0;8.0;8.0;3.0;6.0;3.0;3.0;2.0;34095.0;1340.0;48.0;21.0
52.0;4.0;483777.0;8.0;8.0;3.0;6.0;3.0;3.0;2.0;34095.0;1340.0;56.0;21.0
59.0;4.0;494223.0;9.0;7.0;4.0;6.0;3.0;3.0;2.0;34095.0;653.0;52.0;18.0
46.0;3.0;371987.0;9.0;8.0;4.0;7.0;3.0;3.0;2.0;27828.0;653.0;38.0;18.0
47.0;4.0;356619.0;9.0;8.0;3.0;7.0;3.0;3.0;2.0;27828.0;653.0;50.0;23.0
44.0;4.0;329752.0;7.0;8.0;4.0;7.0;3.0;3.0;2.0;34095.0;653.0;45.0;21.0
46.0;3.0;312131.0;9.0;9.0;3.0;5.0;3.0;3.0;1.0;34095.0;653.0;65.0;25.0
40.0;3.0;421871.0;9.0;6.0;3.0;6.0;3.0;3.0;2.0;27828.0;653.0;52.0;26.0
48.0;4.0;483777.0;6.0;7.0;3.0;6.0;3.0;3.0;2.0;34095.0;653.0;39.0;17.0
55.0;4.0;428030.0;10.0;7.0;3.0;5.0;3.0;3.0;2.0;34095.0;653.0;62.0;23.0
54.0;4.0;335183.0;8.0;8.0;4.0;6.0;3.0;3.0;2.0;34095.0;653.0;43.0;23.0
50.0;5.0;311764.0;8.0;10.0;3.0;6.0;3.0;3.0;2.0;27828.0;1340.0;50.0;21.0
48.0;4.0;397317.0;9.0;9.0;3.0;6.0;3.0;3.0;2.0;27828.0;653.0;58.0;21.0
49.0;4.0;403107.0;8.0;8.0;4.0;6.0;3.0;3.0;2.0;34095.0;653.0;45.0;19.0
49.0;3.0;281590.0;6.0;9.0;3.0;7.0;3.0;3.0;2.0;34095.0;1340.0;53.0;23.0
54.0;4.0;322143.0;8.0;10.0;3.0;6.0;4.0;3.0;2.0;34095.0;653.0;45.0;23.0
47.0;4.0;320818.0;10.0;8.0;3.0;5.0;3.0;3.0;2.0;34095.0;653.0;57.0;24.0
56.0;4.0;563883.0;8.0;6.0;3.0;5.0;3.0;3.0;2.0;34095.0;1340.0;52.0;18.0
53.0;4.0;412296.0;7.0;9.0;3.0;7.0;3.0;3.0;2.0;34095.0;653.0;60.0;17.0
46.0;3.0;334273.0;8.0;9.0;3.0;6.0;4.0;3.0;2.0;25124.0;653.0;62.0;17.0
45.0;4.0;272780.0;8.0;10.0;4.0;7.0;3.0;3.0;2.0;34095.0;653.0;44.0;23.0
46.0;4.0;344991.0;7.0;8.0;3.0;7.0;3.0;3.0;2.0;25236.0;653.0;60.0;21.0
49.0;4.0;333100.0;8.0;9.0;3.0;6.0;3.0;3.0;2.0;34095.0;1340.0;59.0;25.0
51.0;3.0;215310.0;7.0;6.0;3.0;6.0;3.0;3.0;2.0;34095.0;653.0;44.0;27.0
58.0;4.0;563883.0;8.0;5.0;3.0;6.0;3.0;3.0;2.0;34095.0;653.0;38.0;21.0
42.0;3.0;270942.0;8.0;10.0;3.0;5.0;3.0;2.0;2.0;34095.0;653.0;60.0;24.0
51.0;4.0;452205.0;8.0;7.0;3.0;6.0;3.0;3.0;2.0;34095.0;653.0;47.0;23.0
47.0;3.0;354573.0;8.0;8.0;4.0;6.0;3.0;3.0;2.0;34095.0;653.0;49.0;21.0
54.0;5.0;364657.0;8.0;11.0;3.0;7.0;4.0;3.0;2.0;34095.0;653.0;46.0;18.0
52.0;4.0;423158.0;10.0;9.0;3.0;6.0;4.0;3.0;2.0;34095.0;653.0;52.0;18.0
42.0;4.0;335973.0;9.0;7.0;3.0;7.0;3.0;3.0;2.0;27828.0;1340.0;42.0;21.0
51.0;3.0;410114.0;10.0;7.0;4.0;6.0;3.0;3.0;2.0;34095.0;1340.0;54.0;21.0
54.0;4.0;426017.0;8.0;7.0;3.0;6.0;3.0;3.0;2.0;34095.0;653.0;42.0;21.0
53.0;4.0;317660.0;8.0;9.0;3.0;7.0;3.0;3.0;2.0;25236.0;653.0;35.0;21.0
51.0;3.0;441620.0;10.0;9.0;3.0;4.0;3.0;3.0;2.0;34095.0;1340.0;42.0;19.0
50.0;4.0;337587.0;7.0;10.0;3.0;4.0;3.0;3.0;2.0;34095.0;653.0;59.0;24.0
44.0;4.0;314177.0;8.0;7.0;3.0;8.0;3.0;3.0;1.0;34095.0;653.0;41.0;21.0
50.0;4.0;401531.0;9.0;8.0;3.0;6.0;3.0;3.0;2.0;34095.0;1340.0;52.0;21.0
55.0;4.0;520586.0;10.0;6.0;3.0;6.0;3.0;3.0;2.0;34095.0;653.0;62.0;21.0
56.0;4.0;343403.0;9.0;7.0;3.0;4.0;3.0;3.0;1.0;27828.0;653.0;58.0;26.0
56.0;3.0;446839.0;9.0;7.0;4.0;5.0;3.0;3.0;2.0;34095.0;653.0;62.0;17.0
53.0;3.0;269080.0;6.0;11.0;3.0;6.0;3.0;3.0;2.0;34095.0;1340.0;52.0;23.0
45.0;4.0;382635.0;9.0;9.0;3.0;6.0;3.0;3.0;2.0;34095.0;653.0;60.0;23.0
52.0;4.0;363425.0;9.0;9.0;3.0;7.0;3.0;3.0;2.0;34095.0;653.0;55.0;21.0
52.0;4.0;395831.0;7.0;9.0;3.0;6.0;2.0;3.0;2.0;34095.0;653.0;47.0;19.0
48.0;3.0;413297.0;9.0;9.0;3.0;5.0;3.0;3.0;2.0;34095.0;653.0;56.0;18.0
50.0;3.0;382635.0;8.0;7.0;3.0;5.0;3.0;3.0;2.0;34095.0;653.0;30.0;18.0
55.0;4.0;508336.0;9.0;7.0;3.0;6.0;3.0;3.0;1.0;34095.0;653.0;47.0;21.0
44.0;4.0;299047.0;10.0;9.0;4.0;6.0;3.0;3.0;2.0;34095.0;1408.0;49.0;26.0
48.0;4.0;363418.0;9.0;7.0;3.0;7.0;4.0;3.0;2.0;34095.0;653.0;49.0;21.0
46.0;3.0;294493.0;8.0;11.0;3.0;5.0;3.0;3.0;2.0;34095.0;653.0;42.0;25.0
49.0;4.0;252903.0;7.0;9.0;4.0;7.0;3.0;3.0;2.0;27828.0;653.0;44.0;25.0
52.0;4.0;334273.0;10.0;8.0;3.0;4.0;3.0;3.0;2.0;34095.0;653.0;54.0;21.0
54.0;4.0;350845.0;10.0;9.0;4.0;5.0;3.0;3.0;2.0;27828.0;653.0;52.0;16.0
50.0;4.0;370119.0;9.0;7.0;3.0;6.0;3.0;3.0;1.0;34095.0;653.0;49.0;19.0
47.0;4.0;309055.0;9.0;7.0;4.0;6.0;3.0;3.0;2.0;34095.0;1340.0;45.0;21.0
54.0;3.0;452205.0;7.0;9.0;3.0;5.0;3.0;3.0;1.0;34095.0;653.0;50.0;21.0
47.0;3.0;294493.0;8.0;10.0;4.0;5.0;3.0;3.0;2.0;34095.0;653.0;50.0;23.0
51.0;4.0;416745.0;8.0;8.0;3.0;6.0;4.0;3.0;2.0;34095.0;1340.0;59.0;26.0
53.0;3.0;351299.0;9.0;10.0;3.0;6.0;3.0;3.0;2.0;34095.0;653.0;54.0;24.0
47.0;5.0;401531.0;8.0;8.0;3.0;5.0;3.0;3.0;2.0;34095.0;653.0;50.0;23.0
50.0;4.0;420537.0;8.0;6.0;3.0;5.0;3.0;3.0;2.0;34095.0;653.0;44.0;25.0
48.0;4.0;395831.0;8.0;9.0;3.0;6.0;3.0;3.0;2.0;34095.0;653.0;46.0;21.0
54.0;4.0;633742.0;10.0;6.0;3.0;6.0;3.0;3.0;2.0;34095.0;653.0;58.0;23.0
44.0;4.0;303090.0;10.0;8.0;4.0;7.0;3.0;3.0;1.0;27828.0;1340.0;44.0;18.0
48.0;3.0;347890.0;9.0;9.0;4.0;5.0;3.0;2.0;2.0;34095.0;653.0;50.0;29.0
48.0;3.0;428030.0;9.0;9.0;4.0;6.0;3.0;3.0;2.0;34095.0;653.0;54.0;21.0
54.0;3.0;451940.0;10.0;11.0;3.0;6.0;3.0;3.0;2.0;34095.0;653.0;64.0;26.0
48.0;4.0;358740.0;10.0;8.0;3.0;6.0;3.0;3.0;2.0;34095.0;653.0;41.0;23.0
44.0;4.0;481060.0;9.0;7.0;3.0;7.0;3.0;3.0;2.0;34095.0;653.0;52.0;23.0
49.0;3.0;452205.0;8.0;11.0;4.0;5.0;3.0;3.0;2.0;34095.0;653.0;46.0;25.0
49.0;4.0;402089.0;10.0;7.0;3.0;7.0;3.0;3.0;2.0;34095.0;653.0;58.0;19.0
48.0;4.0;318280.0;10.0;10.0;4.0;4.0;3.0;3.0;2.0;34095.0;653.0;55.0;24.0
56.0;4.0;544091.0;8.0;6.0;4.0;6.0;3.0;3.0;2.0;34095.0;653.0;41.0;18.0
44.0;4.0;371373.0;10.0;9.0;3.0;5.0;3.0;3.0;2.0;34095.0;1340.0;65.0;19.0
47.0;4.0;543028.0;9.0;8.0;3.0;4.0;3.0;3.0;2.0;34095.0;653.0;46.0;23.0
49.0;3.0;386261.0;7.0;6.0;3.0;6.0;3.0;3.0;2.0;27828.0;653.0;52.0;23.0
52.0;4.0;633742.0;8.0;8.0;3.0;5.0;3.0;3.0;2.0;34095.0;1408.0;64.0;24.0
49.0;3.0;373662.0;8.0;8.0;4.0;5.0;3.0;3.0;1.0;34095.0;1340.0;52.0;23.0
48.0;4.0;358740.0;9.0;7.0;3.0;5.0;3.0;2.0;2.0;34095.0;1340.0;50.0;17.0
53.0;3.0;334273.0;7.0;7.0;4.0;6.0;3.0;3.0;2.0;27828.0;653.0;53.0;26.0
50.0;4.0;350498.0;9.0;10.0;4.0;5.0;3.0;3.0;2.0;25124.0;1340.0;55.0;29.0
47.0;4.0;304873.0;10.0;9.0;4.0;5.0;3.0;3.0;2.0;27828.0;653.0;54.0;24.0
42.0;3.0;467108.0;10.0;8.0;4.0;6.0;3.0;3.0;1.0;34095.0;1340.0;52.0;25.0
48.0;3.0;316702.0;10.0;7.0;3.0;6.0;3.0;3.0;2.0;34095.0;653.0;50.0;17.0
52.0;4.0;361280.0;9.0;9.0;3.0;5.0;3.0;3.0;1.0;34095.0;653.0;70.0;23.0
45.0;4.0;325159.0;8.0;7.0;3.0;7.0;3.0;3.0;2.0;34095.0;653.0;60.0;21.0
42.0;3.0;350498.0;10.0;9.0;4.0;4.0;3.0;3.0;1.0;34095.0;653.0;49.0;28.0
47.0;4.0;341204.0;10.0;7.0;3.0;5.0;3.0;3.0;2.0;34095.0;653.0;55.0;19.0
44.0;4.0;309055.0;9.0;10.0;4.0;6.0;3.0;3.0;1.0;34095.0;653.0;48.0;23.0
60.0;4.0;483777.0;10.0;8.0;3.0;6.0;2.0;3.0;2.0;27828.0;1504.0;44.0;23.0
49.0;3.0;333100.0;8.0;9.0;3.0;5.0;4.0;3.0;2.0;34095.0;653.0;55.0;21.0
53.0;4.0;363418.0;9.0;9.0;3.0;6.0;3.0;3.0;2.0;34095.0;653.0;56.0;23.0
47.0;4.0;388093.0;9.0;8.0;3.0;5.0;3.0;3.0;2.0;34095.0;653.0;57.0;21.0
54.0;4.0;467108.0;9.0;8.0;3.0;7.0;3.0;3.0;2.0;34095.0;653.0;52.0;18.0
49.0;5.0;431745.0;8.0;8.0;3.0;7.0;3.0;3.0;2.0;34095.0;653.0;56.0;19.0
45.0;4.0;436006.0;9.0;6.0;4.0;6.0;3.0;3.0;2.0;34095.0;653.0;52.0;21.0
45.0;3.0;342865.0;9.0;9.0;3.0;4.0;3.0;2.0;2.0;34095.0;653.0;55.0;25.0
56.0;2.0;390781.0;7.0;10.0;3.0;6.0;4.0;3.0;2.0;34095.0;653.0;50.0;21.0
54.0;4.0;375077.0;9.0;8.0;3.0;8.0;3.0;3.0;2.0;34095.0;653.0;48.0;16.0
38.0;3.0;327120.0;6.0;12.0;3.0;6.0;3.0;3.0;2.0;34095.0;1340.0;48.0;24.0
42.0;4.0;388093.0;8.0;8.0;3.0;4.0;3.0;3.0;2.0;34095.0;1340.0;62.0;24.0
50.0;4.0;352628.0;8.0;9.0;4.0;7.0;3.0;3.0;2.0;34095.0;653.0;57.0;21.0
53.0;4.0;462440.0;7.0;9.0;3.0;6.0;3.0;3.0;2.0;34095.0;653.0;48.0;21.0
53.0;4.0;452205.0;9.0;10.0;3.0;5.0;3.0;3.0;2.0;34095.0;653.0;40.0;19.0
47.0;3.0;509350.0;7.0;8.0;3.0;4.0;3.0;3.0;2.0;34095.0;653.0;45.0;23.0
59.0;4.0;423158.0;9.0;7.0;3.0;5.0;3.0;3.0;2.0;34095.0;1340.0;58.0;24.0
47.0;4.0;325159.0;9.0;12.0;3.0;6.0;3.0;3.0;2.0;34095.0;653.0;60.0;25.0
56.0;3.0;358740.0;7.0;9.0;3.0;6.0;3.0;3.0;1.0;34095.0;653.0;48.0;19.0
44.0;4.0;330664.0;8.0;9.0;4.0;6.0;3.0;3.0;2.0;34095.0;1340.0;48.0;21.0
48.0;4.0;556660.0;9.0;9.0;4.0;5.0;3.0;3.0;1.0;34095.0;653.0;52.0;24.0
50.0;4.0;249101.0;10.0;7.0;3.0;5.0;3.0;3.0;2.0;34095.0;653.0;48.0;21.0
48.0;4.0;398212.0;9.0;11.0;4.0;6.0;3.0;2.0;2.0;34095.0;653.0;53.0;21.0
52.0;4.0;418324.0;6.0;9.0;3.0;6.0;3.0;3.0;2.0;34095.0;1340.0;52.0;21.0
46.0;4.0;343748.0;7.0;9.0;3.0;7.0;3.0;3.0;1.0;34095.0;653.0;40.0;18.0
55.0;4.0;441454.0;8.0;7.0;3.0;6.0;3.0;3.0;2.0;34095.0;1340.0;56.0;19.0
52.0;4.0;365640.0;8.0;11.0;4.0;6.0;3.0;3.0;2.0;34095.0;653.0;64.0;18.0
50.0;4.0;373662.0;8.0;8.0;3.0;5.0;3.0;3.0;2.0;34095.0;653.0;58.0;26.0
52.0;4.0;364657.0;10.0;8.0;3.0;6.0;3.0;3.0;1.0;34095.0;653.0;52.0;21.0
50.0;3.0;423158.0;10.0;8.0;3.0;6.0;3.0;3.0;2.0;27828.0;1340.0;60.0;21.0
45.0;2.0;362589.0;8.0;9.0;3.0;7.0;3.0;3.0;2.0;34095.0;653.0;39.0;23.0
48.0;4.0;382635.0;7.0;8.0;3.0;7.0;3.0;3.0;2.0;27828.0;1340.0;58.0;21.0
52.0;4.0;410114.0;9.0;6.0;4.0;6.0;3.0;3.0;2.0;34095.0;653.0;59.0;23.0
51.0;3.0;483201.0;10.0;7.0;4.0;6.0;3.0;3.0;1.0;34095.0;653.0;70.0;21.0
44.0;4.0;342865.0;10.0;7.0;3.0;6.0;3.0;3.0;2.0;34095.0;653.0;50.0;24.0
51.0;4.0;538319.0;6.0;8.0;3.0;5.0;3.0;3.0;2.0;34095.0;653.0;49.0;21.0
47.0;5.0;432376.0;8.0;9.0;4.0;6.0;3.0;3.0;2.0;34095.0;653.0;55.0;24.0
48.0;3.0;330664.0;9.0;9.0;4.0;4.0;3.0;3.0;2.0;34095.0;653.0;54.0;23.0
47.0;4.0;333100.0;10.0;10.0;3.0;7.0;4.0;3.0;1.0;34095.0;653.0;56.0;23.0
46.0;3.0;343403.0;10.0;10.0;3.0;6.0;3.0;3.0;2.0;34095.0;1340.0;52.0;23.0
44.0;3.0;401531.0;9.0;7.0;3.0;6.0;3.0;3.0;1.0;34095.0;653.0;57.0;23.0
47.0;5.0;467108.0;8.0;7.0;3.0;6.0;3.0;3.0;2.0;34095.0;1340.0;26.0;14.0
40.0;4.0;289980.0;8.0;9.0;3.0;7.0;3.0;3.0;2.0;34095.0;1340.0;43.0;27.0
49.0;4.0;304873.0;9.0;8.0;3.0;6.0;3.0;3.0;2.0;34095.0;653.0;39.0;24.0
56.0;4.0;397466.0;8.0;7.0;3.0;6.0;3.0;3.0;2.0;34095.0;653.0;49.0;21.0
51.0;4.0;263338.0;8.0;7.0;4.0;6.0;3.0;3.0;1.0;25124.0;653.0;42.0;26.0
49.0;4.0;403788.0;9.0;10.0;3.0;7.0;3.0;3.0;2.0;34095.0;653.0;50.0;23.0
57.0;4.0;361280.0;8.0;10.0;3.0;7.0;3.0;3.0;2.0;34095.0;653.0;55.0;18.0
50.0;4.0;386136.0;7.0;6.0;3.0;5.0;3.0;3.0;2.0;34095.0;653.0;36.0;26.0
47.0;4.0;446839.0;8.0;7.0;2.0;6.0;3.0;3.0;2.0;34095.0;1340.0;46.0;21.0
48.0;3.0;423158.0;9.0;7.0;3.0;8.0;3.0;3.0;2.0;27828.0;653.0;40.0;19.0
53.0;4.0;379522.0;7.0;9.0;3.0;4.0;3.0;3.0;2.0;34095.0;653.0;62.0;21.0
43.0;3.0;462440.0;10.0;9.0;4.0;8.0;3.0;3.0;2.0;34095.0;653.0;48.0;23.0
49.0;3.0;356067.0;8.0;6.0;3.0;7.0;3.0;3.0;2.0;34095.0;653.0;60.0;21.0
46.0;4.0;335183.0;10.0;10.0;3.0;5.0;3.0;3.0;1.0;34095.0;653.0;48.0;21.0
44.0;3.0;386773.0;8.0;9.0;4.0;7.0;3.0;3.0;2.0;34095.0;653.0;55.0;19.0
54.0;3.0;349116.0;10.0;6.0;4.0;6.0;3.0;3.0;2.0;34095.0;653.0;54.0;18.0
42.0;4.0;406468.0;9.0;8.0;4.0;6.0;3.0;3.0;2.0;34095.0;1340.0;49.0;25.0
51.0;4.0;350845.0;10.0;8.0;4.0;6.0;3.0;3.0;2.0;34095.0;653.0;50.0;21.0
48.0;3.0;432376.0;9.0;9.0;3.0;7.0;3.0;3.0;2.0;34095.0;1340.0;46.0;21.0
50.0;3.0;475028.0;8.0;10.0;3.0;8.0;3.0;3.0;2.0;34095.0;653.0;56.0;19.0
47.0;3.0;304651.0;9.0;10.0;3.0;8.0;3.0;3.0;2.0;34095.0;653.0;48.0;23.0
49.0;3.0;341995.0;8.0;7.0;4.0;4.0;3.0;3.0;2.0;34095.0;1340.0;42.0;25.0
49.0;3.0;177119.0;11.0;5.0;3.0;4.0;4.0;3.0;2.0;34095.0;653.0;52.0;19.0
40.0;3.0;412296.0;7.0;6.0;3.0;7.0;3.0;3.0;2.0;34095.0;653.0;53.0;18.0
49.0;4.0;338409.0;10.0;8.0;4.0;6.0;3.0;3.0;1.0;34095.0;653.0;50.0;19.0
52.0;4.0;419721.0;7.0;10.0;3.0;5.0;3.0;3.0;2.0;34095.0;653.0;38.0;23.0
52.0;4.0;352628.0;9.0;7.0;3.0;6.0;4.0;3.0;2.0;27828.0;653.0;40.0;21.0
50.0;3.0;376540.0;8.0;9.0;4.0;6.0;3.0;3.0;2.0;34095.0;653.0;44.0;21.0
50.0;3.0;358740.0;8.0;8.0;3.0;4.0;3.0;3.0;2.0;34095.0;653.0;46.0;16.0
50.0;4.0;373662.0;12.0;9.0;3.0;6.0;3.0;3.0;2.0;27828.0;653.0;47.0;19.0
42.0;4.0;423158.0;10.0;8.0;4.0;5.0;3.0;3.0;2.0;25124.0;653.0;59.0;24.0
42.0;3.0;371373.0;11.0;6.0;4.0;6.0;3.0;3.0;2.0;34095.0;1340.0;53.0;18.0
53.0;4.0;356619.0;8.0;8.0;3.0;7.0;3.0;3.0;2.0;34095.0;1340.0;44.0;19.0
49.0;3.0;372525.0;10.0;8.0;3.0;6.0;3.0;3.0;2.0;34095.0;653.0;57.0;25.0
52.0;4.0;419721.0;9.0;7.0;3.0;6.0;3.0;3.0;2.0;34095.0;653.0;56.0;19.0
52.0;3.0;371373.0;7.0;8.0;3.0;7.0;3.0;3.0;2.0;27828.0;653.0;39.0;18.0
54.0;4.0;507875.0;8.0;8.0;3.0;6.0;3.0;3.0;2.0;34095.0;1340.0;47.0;19.0
47.0;5.0;423158.0;8.0;8.0;4.0;6.0;3.0;3.0;2.0;34095.0;653.0;50.0;23.0
50.0;4.0;304873.0;9.0;11.0;3.0;5.0;3.0;3.0;1.0;34095.0;1340.0;60.0;26.0
47.0;4.0;475028.0;8.0;6.0;3.0;5.0;3.0;3.0;2.0;34095.0;653.0;47.0;23.0
49.0;3.0;436006.0;9.0;9.0;3.0;5.0;3.0;3.0;1.0;34095.0;653.0;58.0;27.0
53.0;5.0;280464.0;7.0;8.0;4.0;7.0;3.0;3.0;1.0;34095.0;653.0;41.0;21.0
50.0;4.0;395831.0;7.0;6.0;3.0;7.0;3.0;3.0;2.0;34095.0;653.0;39.0;21.0
53.0;4.0;494223.0;9.0;10.0;3.0;5.0;3.0;3.0;2.0;34095.0;653.0;41.0;21.0
53.0;3.0;387569.0;8.0;10.0;3.0;6.0;3.0;3.0;2.0;34095.0;653.0;47.0;21.0
46.0;4.0;462440.0;9.0;9.0;4.0;6.0;3.0;3.0;2.0;34095.0;653.0;38.0;21.0
56.0;3.0;413297.0;8.0;8.0;3.0;6.0;3.0;3.0;2.0;34095.0;653.0;55.0;24.0
49.0;3.0;326297.0;8.0;8.0;3.0;5.0;3.0;3.0;2.0;34095.0;653.0;53.0;24.0
46.0;4.0;382635.0;8.0;10.0;3.0;6.0;3.0;3.0;2.0;34095.0;653.0;45.0;23.0
46.0;4.0;395831.0;10.0;9.0;3.0;6.0;3.0;3.0;2.0;34095.0;653.0;41.0;21.0
47.0;3.0;364657.0;9.0;8.0;3.0;6.0;3.0;3.0;2.0;34095.0;653.0;62.0;24.0
59.0;4.0;444304.0;8.0;9.0;3.0;6.0;2.0;2.0;2.0;34095.0;1340.0;57.0;21.0
49.0;4.0;386136.0;8.0;7.0;4.0;6.0;3.0;3.0;2.0;34095.0;653.0;54.0;23.0
52.0;4.0;350845.0;7.0;7.0;3.0;5.0;3.0;3.0;2.0;34095.0;653.0;44.0;23.0
49.0;3.0;388093.0;9.0;9.0;4.0;7.0;3.0;3.0;1.0;34095.0;1340.0;44.0;19.0
51.0;3.0;428350.0;10.0;9.0;3.0;6.0;3.0;3.0;1.0;34095.0;653.0;47.0;19.0
47.0;4.0;413297.0;6.0;8.0;4.0;7.0;3.0;3.0;2.0;34095.0;653.0;47.0;26.0
54.0;3.0;465507.0;8.0;10.0;3.0;6.0;3.0;3.0;2.0;34095.0;653.0;58.0;26.0
56.0;3.0;428350.0;7.0;9.0;4.0;6.0;3.0;3.0;2.0;34095.0;653.0;44.0;23.0
42.0;3.0;338409.0;8.0;7.0;4.0;7.0;3.0;3.0;2.0;34095.0;653.0;59.0;21.0
53.0;4.0;388093.0;9.0;7.0;4.0;6.0;2.0;3.0;2.0;34095.0;1340.0;47.0;26.0
57.0;3.0;244689.0;8.0;8.0;3.0;5.0;3.0;3.0;2.0;34095.0;653.0;46.0;26.0
50.0;3.0;318280.0;8.0;6.0;3.0;6.0;4.0;3.0;2.0;34095.0;653.0;62.0;26.0
47.0;4.0;387569.0;7.0;8.0;3.0;6.0;3.0;3.0;2.0;34095.0;1340.0;45.0;21.0
44.0;3.0;395831.0;8.0;5.0;3.0;5.0;3.0;3.0;2.0;34095.0;653.0;45.0;21.0
51.0;4.0;401531.0;9.0;9.0;3.0;7.0;3.0;3.0;2.0;34095.0;653.0;66.0;17.0
46.0;4.0;526968.0;9.0;6.0;3.0;7.0;3.0;3.0;2.0;34095.0;1340.0;50.0;21.0
47.0;3.0;372525.0;8.0;6.0;3.0;7.0;3.0;3.0;2.0;34095.0;653.0;43.0;18.0
44.0;3.0;452205.0;8.0;5.0;3.0;5.0;3.0;3.0;2.0;34095.0;1340.0;50.0;19.0
