age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
6,State-gov,Bachelors,4,Never-married,Adm-clerical,Not-in-family,White,Male,1,0,2,United-States,<=50K
7,Self-emp-not-inc,Bachelors,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0,United-States,<=50K
6,Private,HS-grad,1,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,2,United-States,<=50K
7,Private,11th,0,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,2,United-States,<=50K
4,Private,Bachelors,4,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,2,Cuba,<=50K
6,Private,Masters,5,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,2,United-States,<=50K
7,Private,9th,0,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,0,Jamaica,<=50K
7,Self-emp-not-inc,HS-grad,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,>50K
5,Private,Masters,5,Never-married,Prof-specialty,Not-in-family,White,Female,18,0,4,United-States,>50K
7,Private,Bachelors,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,10,0,2,United-States,>50K
6,Private,Some-college,2,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,5,United-States,>50K
4,State-gov,Bachelors,4,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,2,India,>50K
1,Private,Bachelors,4,Never-married,Adm-clerical,Own-child,White,Female,0,0,0,United-States,<=50K
5,Private,Assoc-acdm,3,Never-married,Sales,Not-in-family,Black,Male,0,0,4,United-States,<=50K
6,Private,Assoc-voc,3,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,2,missing,>50K
5,Private,7th-8th,0,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,3,Mexico,<=50K
3,Self-emp-not-inc,HS-grad,1,Never-married,Farming-fishing,Own-child,White,Male,0,0,1,United-States,<=50K
5,Private,HS-grad,1,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,2,United-States,<=50K
6,Private,11th,0,Married-civ-spouse,Sales,Husband,White,Male,0,0,4,United-States,<=50K
7,Self-emp-not-inc,Masters,5,Divorced,Exec-managerial,Unmarried,White,Female,0,0,3,United-States,>50K
6,Private,Doctorate,6,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,4,United-States,>50K
7,Private,HS-grad,1,Separated,Other-service,Unmarried,Black,Female,0,0,0,United-States,<=50K
5,Federal-gov,9th,0,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,2,United-States,<=50K
7,Private,11th,0,Married-civ-spouse,Transport-moving,Husband,White,Male,0,11,2,United-States,<=50K
8,Private,HS-grad,1,Divorced,Tech-support,Unmarried,White,Female,0,0,2,United-States,<=50K
8,Local-gov,Bachelors,4,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,2,United-States,>50K
0,Private,HS-grad,1,Never-married,Craft-repair,Own-child,White,Male,0,0,2,United-States,<=50K
7,missing,Some-college,2,Married-civ-spouse,missing,Husband,Asian-Pac-Islander,Male,0,0,4,South,>50K
