age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
2,4,0,9,8,2,4,0,4,1,0,0,4,39,1
3,4,0,12,8,4,4,1,4,0,0,0,4,39,0
0,0,0,11,5,4,0,1,4,0,0,0,2,39,0
3,2,0,15,6,0,14,4,4,1,0,0,3,39,0
0,4,0,9,8,4,10,3,4,1,0,0,3,39,0
4,4,1,11,5,2,13,0,4,1,0,0,5,39,1
3,4,2,15,6,2,3,0,4,1,0,0,6,39,1
4,4,0,15,6,2,12,0,4,1,0,0,5,39,0
3,5,1,12,8,2,10,0,4,1,0,5,5,39,1
1,0,0,15,6,0,0,3,4,0,0,0,1,0,0
2,4,0,9,8,4,10,1,4,1,0,0,3,39,1
4,4,0,12,8,2,10,5,4,0,0,0,3,39,1
1,4,1,9,8,4,4,1,4,0,0,0,4,39,1
0,4,0,7,7,4,8,4,4,0,0,0,3,39,0
5,0,1,11,5,6,0,1,4,1,0,0,3,31,0
2,0,2,15,6,2,0,5,4,0,0,0,1,39,1
5,2,1,15,6,2,14,0,2,1,0,0,2,39,0
0,4,2,11,5,4,3,3,4,1,0,0,3,39,0
6,4,0,7,7,2,12,0,4,1,1,0,3,39,1
3,4,0,11,5,2,6,0,4,1,0,3,3,39,0
6,4,1,0,3,5,7,1,2,1,0,0,3,39,0
2,4,1,6,2,5,5,4,2,1,0,0,3,39,0
3,1,1,15,6,2,4,0,4,1,0,0,3,39,1
3,6,1,11,5,2,12,0,4,1,1,0,8,39,1
2,4,0,12,8,2,4,0,4,1,0,0,5,39,1
1,4,1,11,5,4,7,4,4,0,0,0,3,39,0
2,4,0,7,7,0,10,1,4,0,0,0,3,39,0
4,4,1,12,8,2,12,0,4,1,1,0,5,39,1
5,2,0,12,8,2,10,0,4,1,0,0,3,39,1
0,4,1,11,5,4,6,1,4,1,0,0,3,39,0
5,5,0,5,2,2,12,0,4,1,0,0,6,39,0
2,4,2,6,2,2,3,0,4,1,0,0,3,39,0
4,4,2,15,6,6,12,4,4,0,0,0,2,39,0
3,4,1,15,6,2,12,0,4,1,0,0,5,39,1
2,4,1,15,6,2,12,0,4,1,0,0,5,11,1
5,2,2,9,8,2,10,0,4,1,0,0,3,39,1
1,1,0,11,5,4,6,3,4,0,0,0,3,39,0
1,2,0,6,2,2,3,0,2,1,0,0,3,38,1
4,4,0,11,5,2,3,0,4,1,0,0,3,39,1
2,4,0,11,5,2,5,0,4,1,0,0,3,39,0
2,0,0,8,6,6,0,1,4,0,0,0,1,39,0
1,4,3,15,6,2,3,3,4,1,0,0,3,39,0
3,5,0,11,5,2,12,0,4,1,0,0,5,39,0
4,4,0,11,5,0,12,1,4,0,0,0,3,39,0
2,4,2,9,8,0,8,1,4,1,0,0,3,39,0
4,4,1,1,4,0,8,1,4,0,0,0,3,39,0
2,4,4,9,8,2,12,0,4,1,0,0,3,39,1
1,2,0,15,6,4,1,4,2,0,0,0,3,39,0
2,4,2,4,1,2,3,0,4,1,0,0,3,26,0
1,4,1,9,8,4,12,3,4,0,0,0,3,39,0
5,7,0,8,6,6,4,1,0,0,0,0,3,39,0
0,4,1,15,6,4,13,3,4,0,0,0,3,39,0
1,6,3,15,6,4,3,1,4,1,0,0,4,39,0
2,4,0,11,5,2,4,0,4,1,0,0,3,39,0
5,4,0,12,8,2,10,0,4,1,0,0,6,39,1
0,4,3,4,1,4,8,2,4,1,0,0,3,26,0
1,0,2,11,5,2,0,5,4,0,0,0,0,39,0
1,4,2,11,5,2,3,0,4,1,0,0,3,39,0
0,4,1,11,5,2,3,0,4,1,0,0,3,39,0
0,4,1,15,6,4,1,3,4,0,0,0,1,39,0
2,4,0,15,6,2,3,0,4,1,0,0,3,39,1
1,4,1,15,6,4,7,1,4,0,0,0,3,39,0
2,4,1,15,6,2,7,0,4,1,0,0,3,39,0
4,4,0,11,5,2,3,0,4,1,0,0,3,39,0
2,6,1,1,4,0,6,1,4,1,0,0,0,39,0
3,4,0,15,6,0,4,1,4,1,0,0,5,39,0
3,2,0,9,8,4,10,1,4,1,0,0,5,39,1
2,4,0,8,6,2,12,0,4,1,0,0,5,39,1
2,4,1,9,8,0,10,1,4,1,1,0,3,39,1
0,4,1,15,6,4,6,3,2,1,0,0,3,11,0
1,4,0,9,8,4,4,1,4,0,0,0,3,39,0
2,6,0,11,5,2,3,0,4,1,0,0,4,39,0
8,5,0,5,2,2,5,0,4,1,0,0,5,39,0
2,4,1,9,8,2,4,0,4,1,0,0,5,39,1
3,4,0,11,5,2,7,0,4,1,0,0,3,39,0
3,4,1,11,5,2,6,0,4,1,0,0,3,39,0
0,4,1,15,6,4,7,1,4,1,0,0,2,39,0
2,6,1,9,8,0,12,1,4,1,0,0,5,39,1
8,0,1,12,8,6,0,1,4,0,0,0,1,39,0
1,4,1,8,6,2,3,0,4,1,0,0,4,39,0
3,4,0,11,5,2,3,0,4,1,0,0,5,39,1
1,4,0,6,2,4,7,1,4,1,0,0,3,39,0
0,0,2,11,5,4,0,1,2,0,0,0,3,39,0
4,6,1,5,2,2,5,0,4,1,0,0,3,39,0
5,4,1,15,6,2,14,0,4,1,0,0,6,0,0
0,4,1,9,8,4,1,1,4,1,0,0,3,4,0
0,4,0,11,5,2,12,0,4,1,0,0,4,39,0
4,4,1,11,5,0,6,1,4,1,0,0,3,39,0
2,4,0,15,6,2,7,0,4,1,0,0,6,39,0
2,7,0,15,6,0,14,1,4,1,0,0,6,39,0
5,4,1,9,8,2,10,0,4,1,0,0,3,39,1
