age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
1,4,1,6.0243397,4,2,5.5549216,0,4,1,0,0,3,37.77762
3,4,0,11.025651,5,2,4.6152887,0,4,1,0,0,3,38.49274
2,4,1,4.1364613,4,2,6.4983306,0,4,1,0,0,3,36.18915
3,4,0,11.193052,5,2,3.6057131,0,4,1,0,0,3,38.65925
2,4,1,2.8370142,3,2,4.3902082,0,4,1,0,0,3,37.139793
2,4,1,7.812319,8,2,6.3909492,0,4,1,0,0,3,37.419247
1,4,1,8.002898,5,4,3.7005181,1,4,0,0,0,3,38.11716
0,4,1,14.22603,6,4,7.417284,3,4,0,0,0,3,38.5179
3,4,1,10.540322,8,2,12.650633,0,4,1,0,0,3,36.346737
0,4,1,9.421216,5,4,5.529953,1,4,0,0,0,3,38.42144
3,4,1,13.009052,6,2,12.504051,0,4,1,0,0,3,38.678352
0,4,1,14.439924,6,4,9.6492195,3,4,1,0,0,3,38.686977
0,4,1,12.75641,6,4,1.9092937,1,4,0,0,0,3,38.701077
0,4,1,13.690063,6,4,5.770623,1,4,0,0,0,3,37.48998
1,4,1,9.343248,5,4,3.6232245,1,4,1,0,0,3,37.9838
2,4,1,5.3386593,4,2,3.7895477,0,4,1,0,0,3,37.764297
1,4,1,9.909415,5,4,8.982909,1,4,0,0,0,3,27.446058
3,4,0,10.912739,8,2,4.5795937,0,4,1,0,0,3,38.577644
1,4,1,8.1571245,8,4,11.467715,1,4,1,0,0,3,38.023907
1,4,1,11.179301,5,4,10.090461,1,4,1,0,0,3,38.47282
0,4,1,2.062644,4,4,3.7307444,3,4,1,0,0,3,37.99901
1,4,1,10.610009,5,4,4.957755,1,4,1,0,0,3,32.467113
0,4,1,1.4144831,4,4,6.6408725,3,4,1,0,0,3,37.565804
2,4,1,5.1333947,2,2,4.234328,0,4,1,0,0,3,37.024036
0,4,1,12.298675,6,4,10.127544,1,4,0,0,0,3,38.556973
0,4,1,12.3938265,6,4,9.745922,1,4,0,0,0,3,37.739807
1,4,1,10.685916,5,2,5.6136546,0,4,1,0,0,3,38.205723
1,4,1,10.365056,5,4,3.7903411,1,4,0,0,0,3,38.52453
0,4,1,2.227004,4,4,9.882479,3,4,1,0,0,3,38.10696
1,4,1,11.703783,5,2,9.279686,0,4,1,0,0,3,38.382866
3,4,0,10.606228,8,2,6.877171,0,4,1,0,0,3,38.681156
1,4,1,9.667157,5,4,7.783978,1,4,1,0,0,3,38.123898
2,4,1,10.001765,5,2,4.377984,0,4,1,0,0,3,37.7859
3,4,0,13.854135,6,2,9.264905,0,4,1,0,0,3,38.50566
0,4,1,14.029804,6,4,10.232413,3,4,0,0,0,3,27.465841
0,4,1,12.571458,6,4,11.414893,1,4,0,0,0,3,38.551434
1,4,1,8.74588,5,4,7.4345846,1,4,0,0,0,3,38.080593
1,4,1,10.096005,5,4,3.9874763,1,4,0,0,0,3,38.5735
2,4,1,9.717578,5,2,6.3753138,0,4,1,0,0,3,37.356823
0,4,1,4.620542,4,4,6.558483,1,4,0,0,0,3,37.977306
3,4,1,9.593864,8,2,8.15461,0,4,1,0,0,3,38.098373
0,4,1,14.497967,6,4,3.1431234,3,4,0,0,0,3,37.83879
1,4,1,13.196012,6,2,12.838392,0,4,1,0,0,3,38.69441
1,4,1,11.02931,5,4,7.284511,1,4,0,0,0,3,38.431576
1,4,1,12.034812,5,4,3.545275,1,4,1,0,0,3,38.746296
0,4,1,13.315765,6,4,2.0831938,1,4,0,0,0,3,38.659386
3,4,0,11.202952,8,2,4.283954,0,4,1,0,0,3,38.043922
0,4,1,4.492109,4,4,4.9998326,1,4,0,0,0,3,34.96945
0,4,1,12.141928,6,4,10.043132,1,4,0,0,0,3,37.95972
3,4,0,12.662355,6,2,2.4597816,0,4,1,0,0,3,38.969234
1,4,1,11.086682,5,2,5.675041,0,4,1,0,0,3,38.535397
1,4,1,11.625574,5,4,10.165321,1,4,1,0,0,3,38.654247
3,4,1,12.923118,6,2,10.010716,0,4,1,0,0,3,38.558105
2,4,1,10.302244,5,2,3.4903178,0,4,1,0,0,3,38.498226
1,4,1,10.92712,5,4,2.5434556,1,4,0,0,0,3,30.38314
0,4,0,-0.70117855,4,4,11.528276,3,4,1,0,0,1,38.82968
1,4,1,8.397479,5,2,3.1076553,0,4,1,0,0,3,36.867577
0,4,1,13.458127,6,4,10.371321,3,4,0,0,0,3,38.542694
1,4,1,11.136204,5,2,11.858065,0,4,1,0,0,3,38.63044
0,4,1,15.182726,6,4,6.73593,3,4,1,0,0,3,38.611355
3,4,0,13.027208,6,2,7.520513,0,4,1,0,0,3,38.753872
0,4,1,12.485872,5,4,3.241783,1,4,1,0,0,3,38.64255
1,4,1,10.360723,5,2,10.018286,0,4,1,0,0,3,38.45859
1,4,1,9.575612,8,2,11.531986,0,4,1,0,0,3,38.63637
2,4,1,9.727091,5,2,1.8525381,0,4,1,0,0,3,38.550877
0,4,1,14.149088,6,2,8.411905,0,4,1,0,0,3,38.36541
0,4,1,2.9588366,4,4,7.072227,3,4,1,0,0,3,37.14752
1,4,1,9.662361,8,4,9.025017,1,4,0,0,0,3,38.449608
1,4,1,11.470972,5,4,8.035597,1,4,1,0,0,3,38.737183
3,4,1,11.972881,6,2,11.595793,0,4,1,0,0,3,38.873898
2,4,1,9.679124,5,2,2.7832572,0,4,1,0,0,3,38.459946
0,4,1,3.7029219,4,4,9.291096,3,4,1,0,0,3,37.69911
1,4,1,9.866396,5,4,7.578239,1,4,1,0,0,3,38.442623
1,4,1,10.91464,5,2,9.996324,0,4,1,0,0,3,38.36744
1,4,1,11.143095,5,2,11.590502,1,4,1,0,0,3,38.61019
1,4,1,10.503182,5,4,10.500736,1,4,1,0,0,3,38.735806
0,4,1,15.055331,6,4,2.3115172,3,4,0,0,0,3,38.7868
1,4,1,10.958704,5,2,6.7787323,1,4,1,0,0,3,38.206783
3,4,0,10.526331,8,2,4.481536,0,4,1,0,0,3,37.826107
