age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
3.0,4.0,0.0,8.0,6.0,2.0,8.0,0.0,1.0,1.0,0.0,0.0,6.0,19.0
5.0,4.0,0.0,11.0,5.0,2.0,7.0,0.0,4.0,1.0,0.0,0.0,4.0,39.0
5.0,4.0,1.9362557974454413,9.93625579744544,8.93625579744544,2.0,10.0,0.0,4.0,1.0,0.0,0.0,5.0,39.0
4.496944366800473,4.496944366800473,0.0,0.0,3.0,3.9877774672018913,3.4969443668004727,1.9877774672018913,4.0,0.5030556331995272,0.0,4.496944366800473,4.496944366800473,39.0
1.4576359815566593,4.0,0.0,9.0,8.0,4.0,4.0,1.0,4.0,0.4576359815566593,1.0,0.0,4.54236401844334,39.0
0.0,4.0,1.0,9.0,8.0,4.0,4.0,1.0,4.0,1.0,0.0,0.0,3.0,39.0
4.5855586228057215,5.828882754388557,1.4144413771942785,10.828882754388557,8.58555862280572,2.0,10.828882754388557,0.0,4.0,1.0,9.0,0.0,7.4144413771942785,39.0
2.0,4.0,1.0,11.0,5.0,4.0,3.0,1.0,4.0,1.0,0.0,0.0,3.0,39.0
5.0,6.0,0.0,14.0,9.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,2.0,39.0
3.0,7.0,0.0,15.0,6.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,3.0,39.0
3.0,4.0,0.0,12.0,8.0,2.0,10.0,0.0,4.0,1.0,0.0,4.0,5.0,39.0
1.0,4.0,1.0,11.0,5.0,0.0,7.0,1.0,4.0,1.0,0.0,0.0,3.0,39.0
4.035969459619471,4.0,0.0,12.0,8.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,3.0,1.9280610807610572
4.0,2.6807659611826193,1.0,11.0,5.0,2.0,7.0,0.0,4.0,1.0,0.0,0.0,3.0,39.0
4.0,4.0,1.0,12.0,8.0,2.0,4.0,0.0,4.0,1.0,1.0,0.0,6.0,39.0
4.0,2.0,0.0,9.0,8.0,0.0,10.0,1.0,2.0,0.0,0.0,0.0,3.0,39.0
2.0,4.0,2.0,11.0,5.0,2.0,7.0,0.0,4.0,1.0,0.0,0.0,3.0,39.0
0.0,4.0,0.0,2.0,4.0,4.0,8.0,3.0,4.0,0.0,0.0,0.0,1.0,39.0
0.0,4.0,1.0,15.0,6.0,4.0,12.0,3.0,4.0,0.0,0.0,0.0,1.0,39.0
2.0,4.0,0.0,11.0,5.0,0.0,5.0,1.0,4.0,1.0,0.0,0.0,3.0,39.0
3.3820047049593835,4.0,0.0,7.0,7.0,2.0,7.0,0.0,4.0,1.0,0.0,0.0,3.764009409918767,39.0
4.0,4.0,1.0,11.0,5.0,2.0,14.0,0.0,4.0,1.0,0.0,0.0,3.0,39.0
4.0,4.0,0.3386006852829976,9.0,8.0,0.0,4.0,4.0,4.0,1.0,0.0,0.0,3.6613993147170025,39.0
6.0,6.0,1.0,9.0,8.0,0.0,10.0,1.0,4.0,1.0,0.0,0.0,3.0,39.0
5.0,1.0,1.0,11.0,5.0,2.0,13.0,0.0,4.0,1.0,0.0,4.0,3.0,39.0
0.0,0.0,1.0,8.0,6.0,4.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,39.0
1.0,4.0,1.0,15.0,6.0,4.0,8.0,3.0,4.0,1.0,0.0,3.0,1.0,39.0
3.0,4.0,1.0,9.0,8.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,3.0,39.0
1.0,4.0,1.0,9.0,8.0,4.0,12.0,3.0,4.0,1.0,0.0,0.0,0.0,39.0
5.0,4.0,1.0,11.0,5.0,2.0,14.0,0.0,4.0,1.0,0.0,0.0,6.0,39.0
4.0,4.0,0.0,0.0,3.0,5.0,7.0,4.0,2.0,0.0,0.0,0.0,3.0,39.0
2.0,6.0,0.0,15.0,6.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,5.0,39.0
