age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
4,5,1,8,6,2,4,0,4,1,0,0,5,39.068366112599826
3,1,2,15,6,2,10,0,4,1,0,0,4,38.75283100384172
3,4,5,11,5,2,3,0,4,1,0,0,7,38.7985187658398
1,4,0,15,6,2,4,0,4,1,0,0,5,39.11527760819476
3,4,0,12,8,4,12,1,4,1,0,0,5,38.94559058585098
3,4,5,11,5,2,3,0,4,1,0,0,7,39.116916782464635
2,4,1,9,8,2,12,5,4,0,0,0,2,38.89631499064136
3,4,1,15,6,2,5,0,4,1,0,0,5,38.959288950285035
2,4,3,12,8,4,10,1,4,0,0,0,3,38.79490415254004
3,4,1,15,6,2,4,5,4,0,0,0,3,32.881887451913556
1,4,0,9,8,2,3,0,4,1,0,0,3,38.82251465637331
3,1,0,9,8,2,4,0,1,1,0,0,3,38.844963589288575
3,4,1,9,8,2,3,0,4,1,0,0,3,39.02977041657548
3,7,2,9,8,2,10,0,4,1,0,0,3,38.86023895161375
2,6,0,9,8,2,10,0,4,1,0,0,3,39.2546705289945
3,4,0,9,8,2,1,0,4,1,0,0,3,38.95918043271013
6,0,0,9,8,2,0,0,4,1,0,0,4,39.00608750376874
3,4,0,8,6,2,10,0,4,1,0,0,3,39.2415680797411
5,4,1,9,8,2,4,0,4,1,0,4,5,38.91918448737696
3,2,1,12,8,5,4,4,2,1,0,0,4,38.908634296966845
3,4,1,15,6,2,4,5,4,0,0,0,3,33.303394629974015
2,4,0,14,9,2,10,0,4,1,0,0,5,39.252825264480435
1,4,0,11,5,2,1,5,4,0,0,0,3,38.97355901138517
2,2,0,12,8,2,4,0,4,1,0,0,7,38.98088045463634
2,4,1,11,5,0,7,4,2,0,0,0,3,38.81250845105971
0,4,1,11,5,4,7,3,4,1,0,0,3,38.81077007402823
1,4,1,9,8,4,10,4,3,0,0,0,3,38.90932405889146
1,4,0,11,5,4,6,3,4,1,0,0,3,39.15672410282854
0,4,0,11,5,4,7,3,4,1,0,0,3,38.953969027540985
9,0,1,15,6,4,0,3,1,1,0,0,0,34.943023113435736
4,6,0,0,3,0,5,4,4,1,0,0,7,39.18851742357268
3,4,1,9,8,2,3,0,4,1,0,0,1,39.21101525925775
0,3,1,5,2,0,0,1,4,1,0,0,3,38.80544432952587
1,4,1,11,5,4,12,2,4,1,0,0,4,39.11283549701871
0,4,1,2,4,4,7,3,4,1,0,0,3,38.91878045735022
0,4,1,9,8,4,8,3,4,0,0,0,2,39.01813551615697
2,4,0,15,6,2,6,0,4,1,0,0,3,38.986592298149844
2,6,0,11,5,2,3,0,4,1,0,0,4,38.92088257784094
4,4,0,11,5,0,8,1,4,0,0,0,3,38.815800538949084
4,4,1,11,5,0,4,1,4,0,0,0,3,39.019695747384155
2,4,1,11,5,2,12,0,4,1,0,0,6,39.10795942512824
4,7,1,0,3,2,3,0,0,1,0,0,3,39.1149776712066
0,0,1,1,4,4,0,3,2,0,0,0,1,39.10678156698688
4,4,0,9,8,6,8,4,4,0,0,0,1,38.987694939173835
5,6,0,11,5,2,3,0,4,1,0,0,3,38.82508554484318
0,4,2,9,8,4,1,1,4,1,0,0,3,39.10522692464767
3,6,0,5,2,2,3,0,4,1,0,5,3,38.91211361260348
1,4,1,11,5,2,3,0,4,1,0,0,3,38.8554103852711
