age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
1,4,1,9,8,3,12,3,4,0,0,0,3,41
0,4,0,1,4,4,13,3,4,1,0,0,3,41
4,4,1,11,5,0,1,1,2,1,0,0,4,13
6,4,1,11,5,5,14,0,4,1,0,0,3,41
5,6,0,11,8,2,4,0,4,1,0,0,5,41
1,4,2,11,5,4,14,1,4,1,0,0,3,41
3,4,0,9,8,0,10,1,4,0,0,0,5,41
2,4,0,9,8,2,12,5,4,0,0,0,0,41
6,4,2,11,5,2,14,0,4,1,0,0,7,41
2,4,2,11,5,2,5,0,4,1,0,0,5,41
1,4,0,11,5,4,3,4,4,1,0,0,3,41
2,4,0,11,6,2,8,0,4,1,0,0,3,41
4,4,0,11,5,2,7,0,4,1,0,0,4,0
5,4,2,11,8,2,6,0,4,1,0,0,3,41
1,0,1,11,5,4,1,3,0,0,0,0,3,41
3,4,1,15,0,2,10,0,4,1,0,0,3,20
3,4,0,15,6,0,0,1,2,1,0,0,3,41
1,4,1,7,7,4,1,1,4,0,0,0,3,0
3,4,2,11,5,2,14,0,4,1,0,0,4,41
2,4,0,15,6,2,3,0,4,1,0,0,3,41
0,4,1,15,6,4,1,2,4,0,0,0,2,41
3,7,0,10,8,2,1,0,4,1,0,0,6,0
3,2,1,12,8,4,10,1,4,0,0,0,3,41
2,5,1,11,5,2,4,0,4,1,0,0,3,41
0,4,1,11,5,4,12,1,4,0,0,0,0,41
6,4,0,0,2,0,14,4,4,0,0,0,3,41
2,4,0,11,5,2,5,0,4,1,0,0,3,41
0,4,1,15,6,0,12,1,4,0,0,3,3,41
2,7,0,15,6,4,10,3,4,1,0,3,3,41
0,0,0,8,6,4,4,1,2,0,0,0,1,41
5,0,1,11,5,2,0,0,4,1,0,0,6,41
2,5,1,9,8,4,12,3,4,1,0,0,5,41
0,4,1,0,3,2,7,0,4,1,0,0,4,2
2,4,0,11,5,4,8,1,4,0,0,0,3,41
0,5,1,11,5,2,4,0,4,1,0,0,3,41
3,4,1,11,5,2,3,0,4,1,0,0,3,41
