fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,class
4.7252445,4.479585,4.98591,3.9596324,6.458445,4.4097605,6.3239436,4.6795664,1.3227564,2.658508,0
4.7251024,4.4792676,4.985705,3.9596882,6.4582925,4.4096394,6.323467,4.6794605,1.3228709,2.6582708,0
4.7019286,3.441586,4.1586275,3.9819574,6.283888,3.097952,3.8736224,4.803248,5.219247,1.9545716,1
4.734091,4.53546,5.121397,3.848546,6.336122,4.415961,6.3177648,4.673177,1.248083,2.798598,0
4.704173,3.4370005,4.1234126,4.0242224,6.3833375,3.344406,3.91209,4.8682237,5.3160605,1.9437573,1
4.733906,4.5347443,5.1201687,3.849452,6.336938,4.415814,6.317431,4.673139,1.2487592,2.7972283,0
4.7252445,4.479585,4.98591,3.9596324,6.458445,4.4097605,6.3239436,4.6795664,1.3227564,2.658508,0
4.7251024,4.4792676,4.985705,3.9596882,6.4582925,4.4096394,6.323467,4.6794605,1.3228709,2.6582708,0
4.6938972,3.4331021,4.1308956,4.007787,6.3385,3.2102225,3.8925037,4.833723,5.252687,1.9454254,1
4.7026987,3.4360163,4.1234546,4.0229654,6.3794646,3.3279047,3.9102497,4.8648367,5.31094,1.9435471,1
4.7337227,4.5340257,5.118918,3.850377,6.337779,4.4156694,6.3171144,4.6731052,1.2494448,2.7958362,0
4.699888,3.434359,4.122485,4.0219955,6.3749723,3.309577,3.9079206,4.860443,5.300625,1.9430104,1
4.723732,4.492471,5.0352135,3.9142785,6.4002924,4.407918,6.303313,4.672867,1.2953249,2.7070708,0
4.7244368,4.4790525,4.9880056,3.9570494,6.454037,4.4090343,6.320139,4.6786165,1.3215991,2.6607707,0
4.704976,3.4373515,4.124227,4.0237346,6.38312,3.3422706,3.9121363,4.868386,5.319477,1.9439673,1
4.704434,3.437068,4.124331,4.0231605,6.381457,3.3363469,3.9113824,4.867023,5.3171906,1.9439576,1
4.7026987,3.4360163,4.1234546,4.0229654,6.3794646,3.3279047,3.9102497,4.8648367,5.31094,1.9435471,1
4.725174,4.479974,4.9872303,3.9584074,6.456842,4.4096856,6.323238,4.679364,1.322032,2.6599407,0
4.737584,4.492341,4.971258,3.985507,6.5087852,4.420859,6.375822,4.692613,1.3324866,2.6402388,0
4.6959257,3.4319754,4.1207485,4.0210943,6.3695197,3.2867374,3.905005,4.8548465,5.286006,1.9421664,1
4.7252445,4.479585,4.98591,3.9596324,6.458445,4.4097605,6.3239436,4.6795664,1.3227564,2.658508,0
4.723732,4.492471,5.0352135,3.9142785,6.4002924,4.407918,6.303313,4.672867,1.2953249,2.7070708,0
4.7251024,4.4792676,4.985705,3.9596882,6.4582925,4.4096394,6.323467,4.6794605,1.3228709,2.6582708,0
4.724329,4.47959,4.9899254,3.955257,6.451683,4.40892,6.319101,4.6783156,1.3205415,2.6628344,0
4.7021017,3.435659,4.12314,4.0229173,6.3788123,3.325224,3.9098747,4.8641114,5.3087544,1.9434054,1
4.724308,4.4795127,4.989815,3.955336,6.451747,4.4089026,6.319056,4.678309,1.3206027,2.6627138,0
4.7014213,3.4352624,4.123008,4.022534,6.377442,3.3196428,3.9091985,4.8628526,5.3062625,1.9433011,1
4.698285,3.4334073,4.122207,4.0210433,6.371659,3.2957556,3.9062889,4.857402,5.294866,1.9427615,1
4.6960845,3.432083,4.1211534,4.020674,6.3688803,3.2841551,3.9047718,4.8544674,5.2867136,1.9422725,1
4.724168,4.4711347,4.968323,3.9736772,6.4736404,4.409031,6.3251686,4.6804233,1.3322449,2.6400046,0
4.7059426,3.437933,4.123862,4.0250154,6.3866014,3.355729,3.9136975,4.8712053,5.323281,1.9439801,1
4.7252445,4.479585,4.98591,3.9596324,6.458445,4.4097605,6.3239436,4.6795664,1.3227564,2.658508,0
4.7253075,4.4792595,4.984791,3.9606771,6.459817,4.409828,6.3245573,4.679742,1.3233721,2.6572883,0
4.7005544,3.440575,4.1572404,3.9829953,6.2846437,3.0981815,3.8735802,4.80294,5.215233,1.9539564,1
4.7244368,4.4790525,4.9880056,3.9570494,6.454037,4.4090343,6.320139,4.6786165,1.3215991,2.6607707,0
4.7253075,4.4792595,4.984791,3.9606771,6.459817,4.409828,6.3245573,4.679742,1.3233721,2.6572883,0
4.697364,3.4378393,4.1522646,3.987449,6.291624,3.1089885,3.875451,4.805372,5.211967,1.9518763,1
4.7039137,3.4367597,4.124221,4.0228796,6.3804355,3.3320863,3.9108746,4.8660736,5.3153186,1.9438734,1
4.7239275,4.493193,5.036688,3.913165,6.399225,4.4080725,6.303647,4.672887,1.294519,2.7084882,0
4.696048,3.4320636,4.1211567,4.0206404,6.368779,3.2837567,3.9047256,4.8543816,5.2865777,1.9422696,1
4.7251024,4.4792676,4.985705,3.9596882,6.4582925,4.4096394,6.323467,4.6794605,1.3228709,2.6582708,0
4.7340612,4.535352,5.1212134,3.848681,6.336243,4.415938,6.3177123,4.673171,1.2481842,2.7983928,0
