fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist
5.0,5.0,6.0,5.0,7.0,3.0,7.0,7.0,8.0,2.0
5.0,5.0,6.0,6.0,9.0,5.0,6.0,7.0,8.0,5.0
5.0,5.0,6.0,5.0,7.0,5.0,6.0,7.0,1.0,5.0
5.0,4.0,6.0,6.0,9.0,5.0,6.0,3.0,8.0,5.0
5.0,5.0,6.0,6.0,7.0,5.0,6.0,7.0,8.0,2.0
5.0,5.0,6.0,5.0,7.0,3.0,2.0,3.0,9.0,5.0
5.0,5.0,3.0,6.0,9.0,5.0,6.0,7.0,5.0,5.0
7.137293836876399,9.0,6.0,3.0,5.274587673752798,2.7254123262472025,0.0,8.137293836876399,8.0,0.0
5.0,5.0,6.0,5.0,7.0,5.0,6.0,5.0,9.0,2.0
5.0,5.0,3.0,6.0,9.0,5.0,6.0,7.0,7.0,0.0
5.0,5.0,6.0,6.0,9.0,5.0,6.0,5.0,0.0,5.0
5.0,6.0,6.0,5.0,7.0,5.0,6.0,7.0,1.0,2.0
5.0,5.0,6.0,5.0,7.0,5.0,6.0,7.0,1.0,5.0
5.0,6.0,6.0,5.0,7.0,5.0,6.0,3.0,8.0,5.0
5.0,6.0,6.0,5.0,7.0,6.0,3.0,3.0,8.0,2.0
5.0,5.0,6.0,6.0,9.0,5.0,6.0,6.0,7.0,5.0
5.0,5.0,6.0,5.0,7.0,5.0,6.0,7.0,4.0,2.0
5.0,1.0,6.0,6.0,9.0,5.0,6.0,6.0,0.0,2.0
5.0,5.0,6.0,5.0,7.0,5.0,2.1323852912543506,3.0,4.867614708745649,5.0
5.0,5.0,6.0,6.0,9.0,5.0,6.0,7.0,1.0,2.0
5.0,5.0,6.0,5.0,7.0,5.0,4.0,7.0,1.0,0.0
5.0,5.0,6.0,5.0,7.0,5.0,6.0,7.0,4.0,0.0
5.0,5.0,6.0,6.0,7.0,5.0,3.0,5.0,2.0,2.0
5.0,5.0,6.0,5.0,7.0,5.0,4.0,3.0,1.0,2.0
5.0,5.0,6.0,5.0,7.0,3.0,2.8700258808571375,2.1299741191428625,9.0,5.0
5.0,5.0,6.0,6.0,7.0,5.0,6.0,6.0,0.0,5.0
5.0,4.0,3.0,6.0,9.0,5.0,7.0,3.0,2.0,2.0
8.29895776421792,9.0,6.0,1.0,2.0,0.0,8.29895776421792,0.0,8.29895776421792,5.597915528435841
5.0,5.0,6.0,5.0,7.0,5.0,3.0,3.0,4.0,0.0
5.0,5.0,6.0,5.0,7.0,5.0,6.0,3.0,4.0,5.0
5.0,5.0,3.0,6.0,7.0,3.0,4.0,7.0,2.0,0.0
5.0,0.0,6.0,6.0,9.0,5.0,6.0,6.0,8.04314098309524,2.0
5.0,5.0,6.0,5.0,7.0,5.0,6.0,7.0,8.0,2.0
5.0,5.0,6.0,6.0,9.0,5.0,4.0,7.0,5.0,5.0
5.0,5.0,6.0,6.0,9.0,5.0,6.0,3.0,1.0,2.0
8.946838828265273,9.0,6.0,1.0,2.0,3.0,0.0,9.0,9.0,7.0
5.0,5.0,6.0,6.0,9.0,5.0,6.0,7.0,8.0,2.0
5.0,2.0,0.0,8.0,9.0,5.0,6.0,7.0,8.0,2.0
1.0,5.0,3.0,8.0,9.0,5.0,6.0,3.0,8.0,0.0
6.0,9.0,9.0,1.0,2.0,6.0,7.0,7.0,0.0,7.0
5.0,5.0,6.0,6.0,9.0,5.0,6.0,7.0,0.0,0.0
5.0,5.0,6.0,5.0,7.0,3.0,6.0,7.0,1.0,5.0
8.093530151307927,9.0,6.0,5.0,7.0,0.0,0.9064698486920717,9.0,8.0,2.0
5.0,5.0,6.0,6.0,9.0,5.0,3.0,7.0,8.0,2.0
5.0,5.0,6.0,6.0,9.0,5.0,6.0,5.0,9.0,5.0
5.0,6.0,6.0,5.0,7.0,5.0,7.0,7.0,0.0,5.0
5.0,4.0,0.0,6.0,9.0,5.0,4.0,7.0,5.0,2.0
7.7547341568907004,5.7547341568907004,6.0,5.0,7.0,3.0,0.0,7.0,9.0,2.0
1.0,5.0,0.0,8.0,9.0,5.0,5.0,7.0,1.0,2.0
5.0,5.0,6.0,5.0,7.0,3.0,2.0,7.0,5.0,2.0
5.0,5.0,3.0,6.0,9.0,3.0,6.0,3.0,7.0,0.0
5.0,5.0,6.0,5.0,7.0,5.0,4.0,7.0,0.0,2.0
5.0,5.0,6.0,6.0,7.0,5.0,6.0,3.0,0.0,5.0
