fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist
0.4974733,0.61829233,0.4113328,0.29122066,0.14320579,0.35724255,-0.27058256,0.15277223,0.10115058,0.43128642
1.0103989,0.95829254,0.9162266,0.8838639,0.897743,1.3306594,1.1150537,1.6914665,0.65782,0.30836686
0.8131217,0.83506244,0.13029656,0.793023,0.7363552,0.360133,0.2324806,1.6181076,0.86193186,0.61622834
0.5850191,0.34532398,-0.17988199,0.99083805,1.0484506,0.6240964,-0.026304882,0.06770659,-0.022318218,0.4430546
1.1301645,1.0521193,0.9280696,0.8527756,0.95976555,0.8612642,0.7336346,0.8462217,0.9718648,0.07677089
0.60387135,0.64277864,0.28065658,0.42897862,0.21347153,0.38268417,0.28903908,1.0171086,1.0472964,0.720298
0.35709476,0.24512094,-0.23326421,0.6162206,0.33070037,0.6265577,0.0071417387,-0.0064356476,0.10028511,0.4349673
0.8401619,0.9962927,0.6407085,0.5255223,0.6662854,0.9064543,0.8961865,1.4576098,0.96295506,0.41890007
0.53635263,0.6392076,0.10773204,0.30797625,0.27790186,0.27974278,-0.06659435,0.3057647,0.62578595,0.72232366
0.77702695,0.7119354,0.9833069,1.0960754,1.3474573,1.059881,0.981159,0.58128864,0.43473443,-0.10691776
0.8352931,1.0684724,0.8828622,0.46835184,0.30963892,0.7663805,0.14269823,0.7307918,0.8768439,0.49399716
0.741994,0.6654253,0.6460155,0.4795233,0.33933383,0.31738755,0.022585593,0.7836337,0.31559697,0.20141461
0.8829855,0.9810136,0.2700586,0.85037327,0.79659957,0.7546854,0.72993624,0.9192207,0.4804216,1.2957202
0.77321327,0.76168495,0.6457109,0.5505662,0.56047297,0.8759738,0.8108642,1.0327957,0.26822415,0.4893856
0.6538284,0.741381,0.33515537,0.46130633,0.3517777,0.16906579,-0.2020645,0.7345019,0.4441769,0.6733403
0.987106,1.418647,0.86311424,0.45392132,0.5273567,0.69953907,0.2764763,-0.45620692,1.1576928,1.2749915
0.81126225,0.74352336,0.53058714,0.44303453,0.22432669,0.38537365,0.10090486,0.5312182,-0.27028793,0.7930543
0.7958637,0.8933338,0.46477526,0.4967602,0.339478,0.21075732,-0.29197904,0.50161374,1.0799583,1.0294083
0.5278945,0.6973527,0.63903725,0.6159545,0.5894885,0.77300346,0.08743502,0.009227663,0.7827563,0.012709283
0.42496082,0.5117368,0.0174575,0.33588082,0.15078284,0.3539053,0.1270103,0.34122688,0.6579479,0.44726545
1.2281646,1.4035473,1.1972283,0.41071066,0.48057854,0.94328034,0.6874919,0.15322661,0.44822314,0.33965397
0.9675095,1.2098526,1.3214406,0.50612634,0.5600492,1.0178549,0.54269785,0.16975886,0.93898803,0.3812637
0.56929,0.44582424,-0.19918607,1.0347036,0.72368866,0.7161785,0.15764233,0.25402743,-0.1062794,0.5252566
0.6148753,0.53578424,0.2641226,0.35542995,0.22641149,0.5783203,0.34581703,0.36766762,0.04132224,0.6037004
0.42251188,0.4602564,-0.1294622,0.87136424,0.7962694,0.6390958,0.23910844,0.10180098,0.3520548,0.4412179
0.6467155,0.6514721,0.39253506,0.28714764,0.18722627,0.73653406,0.27316022,0.41958648,0.74337184,0.10052699
1.4544713,1.610337,0.6801262,0.7695768,0.92632014,0.35140148,-0.7064711,-0.6787493,1.4544667,0.9665512
0.5640422,0.6124996,0.14025927,0.4040523,0.24980308,0.23172006,-0.27573973,0.400913,0.28369948,0.950438
0.65011525,0.57845515,0.14192408,0.98370457,0.8847309,0.79318696,0.19914722,-0.10168812,-0.22699554,0.35772103
0.8233593,1.1272842,1.3241459,0.5038108,0.47758394,0.85407937,0.7091463,0.40683702,0.24195322,0.44238156
0.57710826,0.84684676,0.65142655,0.21365048,0.045565836,0.5519078,0.19917957,0.16696356,0.6577105,0.35602012
0.50593793,0.48092443,0.23409465,0.30502653,0.0898234,0.49075502,0.09758325,0.23903272,0.13675031,0.38810667
1.1332393,0.893626,0.6861465,0.8522537,0.874364,0.5183668,0.12791285,0.81986517,-0.5980524,0.57582915
0.9260205,1.0286834,0.8482312,0.52183926,0.78707564,0.8033194,1.1245289,1.6664102,1.1838331,0.37088954
0.8310091,0.87591153,0.22397602,1.0524464,0.90136486,0.67484415,-0.47204092,0.04312402,0.17610441,1.2352684
0.4187656,0.35740072,-0.04207769,0.72747064,0.7906473,0.48704877,0.17527883,0.27377558,0.7514407,0.4118328
0.41213518,0.51706,0.31803617,0.34130687,0.24114884,0.5002274,0.0400704,0.06468959,0.5850212,0.16186225
0.41505328,0.25913566,-0.06003639,0.6315469,0.6250686,0.62486845,0.28591558,0.10407667,0.260254,0.20952706
1.247006,1.3326899,1.5977812,0.36200222,0.48660034,1.0892286,0.5792026,0.19024444,-0.0056406856,0.1986021
