time,a1,a2,a3,a4,a5,a6,a7,a8,class
2.0434906,4.0617766,2.681215,7.0806823,6.68719,4.813856,5.4430137,1.6341476,0.27771267,0
2.0935907,4.0881314,6.016852,6.9505954,6.0157156,4.5103736,7.303142,3.5178394,0.5076567,0
1.8468872,3.8488865,2.2277188,7.0417786,6.584777,5.662983,5.3546743,1.6072896,0.2702122,0
2.1093867,3.8085673,2.8732877,7.0958614,6.7420793,5.0556135,5.5018077,1.6593323,0.2710223,0
6.314385,3.5248277,4.7483654,6.1278944,2.450097,4.4395933,0.36995843,5.3713107,6.027285,4
1.6068617,3.9770176,1.5882884,6.9323673,6.375069,4.776211,5.1914353,1.6235733,0.2840045,0
1.9159577,3.8145113,2.3934932,7.051532,6.6240673,5.431766,5.3847,1.6149178,0.2728435,0
1.6062076,3.9795446,1.5871453,6.93267,6.3750877,4.7822948,5.1913085,1.6234548,0.28390393,0
1.9289286,3.8135545,2.4258592,7.0550528,6.63282,5.4143925,5.3915043,1.6157558,0.27285826,0
1.6048015,3.9795048,1.5845865,6.9324946,6.3744617,4.780498,5.1907315,1.6234255,0.28385094,0
3.8884559,3.6651454,3.740437,6.1843157,5.2144065,3.9018652,4.1018085,2.2758448,1.3015645,3
1.8487254,3.8453684,2.2309563,7.040841,6.584998,5.634667,5.354683,1.6079116,0.27058476,0
1.8463668,3.8519483,2.2263842,7.0419617,6.5846076,5.666289,5.354521,1.6071131,0.27016324,0
4.173828,3.9211261,1.7968059,6.2262945,4.2279835,4.229862,2.1033435,3.288485,3.6333401,3
2.1494555,3.8104234,2.9811769,7.110207,6.7717395,5.093984,5.535962,1.669827,0.26727283,0
4.2087874,3.9538682,1.738665,6.2387056,4.1204076,4.2647314,2.0080543,3.403151,3.834479,3
2.094497,4.0565443,6.02991,6.9506106,6.0162005,4.591693,7.3114586,3.5259452,0.5078482,0
1.9102983,3.8154402,2.3792808,7.0499754,6.6202054,5.4383907,5.381685,1.6145504,0.2728571,0
1.8490604,3.844427,2.2310836,7.0403266,6.584785,5.6228695,5.3544607,1.608176,0.270736,0
1.8554382,3.83304,2.242002,7.0367684,6.584322,5.5291743,5.353866,1.6105645,0.27239597,0
1.8574055,3.8325942,2.2472355,7.0372934,6.5856295,5.525524,5.354786,1.6105325,0.2724392,0
1.8527725,3.832471,2.2345152,7.0356636,6.5822134,5.528524,5.3523617,1.6107991,0.27246794,0
2.4288015,3.9014776,4.38481,7.1255426,6.6944246,5.0994954,6.123473,2.253154,0.3358289,0
1.8524611,3.831707,2.2333453,7.0352573,6.5817223,5.5243835,5.3520017,1.610961,0.27256048,0
2.2414997,3.8088443,3.2066803,7.13425,6.8268886,5.1115704,5.596697,1.6891916,0.26202533,0
2.053317,3.9475477,6.4306173,6.9454684,5.9376435,5.22822,7.574793,3.786653,0.53074443,0
6.314385,3.5248277,4.7483654,6.1278944,2.450097,4.4395933,0.36995843,5.3713107,6.027285,4
1.8457602,3.8636394,2.2219002,7.0409875,6.583339,5.633698,5.353155,1.6072776,0.27055362,0
