time,a1,a2,a3,a4,a5,a6,a7,a8
4.0,4.0,6.0,5.0,5.198874666703421,5.0,6.0,3.0,1.801125333296579
6.761285261345957,7.0,3.0,7.0,0.0,3.0,0.2387147386540428,9.0,8.0
8.0,9.0,8.0,5.0,5.0,1.0,3.0,5.0,5.0
9.0,5.3395497268367125,8.660450273163288,9.0,9.0,1.0,0.0,1.0,3.0
4.0,4.0,1.0,7.0,1.0,6.0,1.0,7.0,6.0
1.0,3.0,7.0,7.0,6.0,1.0,9.0,3.0,0.0
5.0,4.0,2.0,7.0,8.0,5.0,2.0,0.0,0.0
1.0,7.0,1.4657723576774075,7.0,5.465772357677407,5.0,5.0,1.5342276423225925,1.0
9.0,4.0,8.0,5.0,9.0,8.0,0.0,0.0,3.0
0.0,0.0,8.0,7.190926095595639,5.0,5.261342380505452,9.0,5.0,0.0
0.0,1.0,9.0,9.0,5.0,8.0,9.0,5.0,0.0
7.0,7.0,3.0,7.0,0.0,3.0,0.0,9.0,8.0
8.0,5.0,2.0,7.0,0.0,5.0,0.0,9.0,9.0
0.0,1.0,8.0,7.0,5.0,3.0,9.0,5.0,0.0
9.0,2.9003000773057894,8.0,5.0,9.0,5.0,0.0,0.0,3.0
7.0,7.0,3.0,7.0,0.0,3.0,0.0,9.0,8.0
0.0,4.0,1.0,7.0,6.0,8.0,6.0,1.0,0.0
1.0,7.0,1.0,7.0,5.0,5.0,5.0,2.0,2.0
8.0,4.0,3.0,7.0,0.0,3.0,0.0,9.0,9.0
0.0,0.0,1.0,8.757438363586155,4.878719181793078,5.878719181793078,6.121280818206922,2.1212808182069223,0.24256163641384498
0.0,0.0,8.0,6.427279361776495,5.0,6.21590079777938,9.0,5.0,0.0
8.456548724655459,9.0,6.369646173966377,6.086902550689082,5.543451275344541,5.456548724655459,0.0,2.913097449310918,3.913097449310918
1.0,7.0,1.0,7.0,5.0,5.0,5.0,2.0,2.0
4.0,4.0,3.0,9.0,1.0,8.0,3.0,7.0,6.0
