time,a1,a2,a3,a4,a5,a6,a7,a8
0.76492643,0.3103249,0.50190437,0.24623965,0.01694797,0.9123437,0.42741892,0.83761036,1.0844564
-0.039784625,0.7011093,-0.36071363,0.83474493,0.052472204,0.6415313,0.9121399,0.9550647,0.8509125
1.0355127,0.41614062,0.641806,0.67105055,0.4443596,0.6296511,0.11214617,0.4539273,0.87080723
0.3565287,0.32984906,0.18353221,0.27743784,0.6383312,0.71781534,0.27560616,-0.16039251,0.26814368
0.20724396,0.2723356,1.1440914,0.75679094,0.26602057,0.21811143,1.045737,0.47658926,0.35265598
0.1261052,0.33956224,0.021196926,0.21405694,0.25217763,0.23919012,0.3995695,0.10064059,0.41876385
0.9163871,0.43327323,0.4864089,0.5921956,0.7645303,0.49949035,0.26826963,-0.11729112,0.26869202
1.136661,0.63830245,0.60436016,1.138396,1.2207761,0.49642003,0.29252857,-0.12170461,0.30685374
0.016247494,0.097209945,0.71145916,0.5002244,0.1842026,0.50129193,0.8646897,0.34560454,0.3473742
0.14730766,0.66537774,-0.5069002,0.7836365,0.25052422,0.8639964,0.36523342,0.28417128,0.6500232
0.98461205,0.6372707,0.21393766,0.8370359,0.77157116,0.5476947,0.08796975,0.16060553,0.65413773
0.30470866,0.26315987,0.044011623,0.27468047,-0.006068088,0.20862767,0.26440603,0.27621177,0.486947
0.28855833,0.20054501,0.50277346,0.29595298,0.07586628,0.5656712,0.42048842,0.3000311,0.70600384
0.16609302,0.8690971,0.93789226,1.6219438,0.73343956,-0.20131156,1.6738868,0.76067436,0.53568876
0.69382423,0.3805408,0.6702527,0.41698983,0.8832371,0.5047215,0.56597906,-0.08553846,-0.0027004436
0.78471816,0.8470942,0.7001656,1.3421154,0.68578184,-0.32831794,0.91258293,0.6377219,0.64839214
0.35314268,0.50886893,-0.187756,0.72170824,-0.0012695044,0.47805274,0.42298892,0.77168584,0.9433549
0.5024907,0.16403592,0.40894368,0.243696,0.28531674,0.24216852,0.28934887,0.08232743,0.3074723
0.30586424,0.49260977,-0.19128577,0.67772686,0.45089197,0.5256598,0.20956938,-0.0011357218,0.4365581
0.088876665,0.15975082,0.52133894,0.31207287,0.312139,0.8366189,0.7660817,0.52863985,0.56297046
0.62468415,0.64388674,0.2666244,0.7279408,0.77044916,-0.018358104,0.47173843,-0.05020897,0.45502055
0.7667409,0.30387485,1.3116806,0.50667095,0.9712915,0.57872534,0.81453943,0.28192365,0.1499298
0.25333312,0.9437308,-0.31651238,1.043399,0.7762594,0.7706554,0.71763235,0.11160734,0.48314145
0.33782753,0.40154144,-0.03931716,0.67790365,-0.043909952,1.1928723,0.3324077,0.6356882,0.92126364
0.32798627,0.32433867,0.19152403,0.6081561,-0.14704356,0.5663583,0.4954577,0.76367563,0.97015756
0.19292617,0.24394552,0.0083301775,0.197147,0.2028409,0.31664938,0.3254472,0.06405451,0.44505653
